cell_index,cell_label,n_seeds,override_misreporting.audit_probability,total_production_mean,total_production_median,total_production_p10,total_production_p90,gini_coefficient_mean,gini_coefficient_median,gini_coefficient_p10,gini_coefficient_p90,welfare_mean,welfare_median,welfare_p10,welfare_p90,total_tax_revenue_mean,total_tax_revenue_median,total_tax_revenue_p10,total_tax_revenue_p90,total_audits_mean,total_audits_median,total_audits_p10,total_audits_p90,total_catches_mean,total_catches_median,total_catches_p10,total_catches_p90,bunching_intensity_mean,bunching_intensity_median,bunching_intensity_p10,bunching_intensity_p90,enforcement_cost_mean,enforcement_cost_median,enforcement_cost_p10,enforcement_cost_p90
0,audit_probability=0.0,100,0.0,1014.2034567578132,993.50440625,710.29,1325.8827109623037,0.5037854359460192,0.5030690735953083,0.40550773892776365,0.5992494311821008,72.1912113361565,70.72281028794289,50.417738219637194,94.50907117965575,446.0220969619824,447.32911521549113,293.13848342327486,591.4540422195408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013571428571428571,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0
1,audit_probability=0.025,100,0.025,1009.8613234393644,994.361375,745.18,1313.1415039958115,0.5064752001158235,0.5108564267177851,0.41985883360227333,0.6016622654314768,71.8797140741824,70.78648534122618,52.930120728236645,93.58787061978578,455.281057029915,449.99048830638174,306.126672100864,605.2812984950834,1.9,2.0,0.0,3.0,0.19,0.0,0.0,1.0,0.013571428571428571,0.0,0.0,0.07142857142857142,0.95,1.0,0.0,1.5
2,audit_probability=0.05,100,0.05,981.3362184297088,976.9875,690.3,1290.35,0.51564963731212,0.5188392861203851,0.42337636771563,0.6073107908740443,69.83761935489457,69.51211803659888,49.00383296089155,91.98350186319438,453.86259758517144,452.4048223203489,302.1532679612947,606.8710503529004,3.47,3.0,1.0,6.0,0.35,0.0,0.0,1.0,0.015,0.0,0.0,0.07142857142857142,1.735,1.5,0.5,3.0
3,audit_probability=0.1,100,0.1,953.5842902272564,964.4230011814154,616.578322646875,1228.5431250000001,0.5208533163155211,0.517918893643375,0.42766786450824545,0.6066307162431402,67.85273692950341,68.64720494310899,43.7318465789856,87.54710523863258,445.88919196035096,448.10716240677004,277.78727271512855,589.3667308530771,7.28,7.0,5.0,10.0,0.55,0.0,0.0,1.0,0.018571428571428572,0.0,0.0,0.07142857142857142,3.64,3.5,2.5,5.0
4,audit_probability=0.15,100,0.15,902.371076691032,903.53346875,600.62868125,1200.33,0.5289281763742103,0.5362803590923801,0.4377105464834185,0.6175781575754352,64.19061281831517,64.26596770303962,42.598828267599494,85.52365654684218,419.6488385373718,421.08357206387666,249.4531710402106,579.2696527362016,10.86,11.0,9.0,13.0,0.79,1.0,0.0,2.0,0.019285714285714285,0.0,0.0,0.07142857142857142,5.43,5.5,4.5,6.5
5,audit_probability=0.2,100,0.2,896.2770852310219,902.65959375,599.5,1183.0207874999999,0.5337226465774803,0.539544030852317,0.42891894098731015,0.6175781575754352,63.75293047892711,64.19392202436654,42.51883791013805,84.26094617785661,412.2040970518556,415.942645321869,258.73825935242587,577.1716038956064,13.99,14.0,14.0,14.0,1.02,1.0,0.0,2.0,0.020714285714285713,0.0,0.0,0.07142857142857142,6.995,7.0,7.0,7.0
6,audit_probability=0.3,100,0.3,910.4672914287981,917.6,622.29,1200.1474999999998,0.53139856790014,0.5350195187316061,0.431522084637218,0.6137343419539686,64.7676786752498,65.28373730463503,44.159612768203004,85.51473399895919,415.4602875080016,421.80259891448804,268.7386489878861,571.0425523702148,14.0,14.0,14.0,14.0,1.31,1.0,0.9,2.0,0.01714285714285714,0.0,0.0,0.07142857142857142,7.0,7.0,7.0,7.0
7,audit_probability=0.5,100,0.5,906.8764539287981,903.1809062499999,601.131525,1189.6230874999999,0.5330399601954716,0.536824186062365,0.4350396704330286,0.6210483762120151,64.51036958624499,64.23106056870688,42.62940247183496,84.7637371991897,412.0675204672869,421.80259891448804,266.60094044880276,571.0425523702148,14.0,14.0,14.0,14.0,1.43,1.0,1.0,2.0,0.02,0.0,0.0,0.07142857142857142,7.0,7.0,7.0,7.0
8,audit_probability=0.65,100,0.65,906.4773658037982,903.1809062499999,601.131525,1189.6230874999999,0.5330625894906474,0.536824186062365,0.4350396704330286,0.6210483762120151,64.48185197695454,64.23106056870688,42.62940247183496,84.7637371991897,411.2419540137481,419.05566541153183,266.60094044880276,571.0425523702148,14.0,14.0,14.0,14.0,1.46,2.0,1.0,2.0,0.019285714285714285,0.0,0.0,0.07142857142857142,7.0,7.0,7.0,7.0
9,audit_probability=0.8,100,0.8,907.6443658037982,906.7,601.131525,1189.6230874999999,0.532993339911867,0.5385564682816488,0.4350396704330286,0.6210483762120151,64.56524374460108,64.49585655690319,42.62940247183496,84.7637371991897,411.2581445589416,419.05566541153183,266.60094044880276,571.0425523702148,14.0,14.0,14.0,14.0,1.5,2.0,1.0,2.0,0.02,0.0,0.0,0.07142857142857142,7.0,7.0,7.0,7.0
10,audit_probability=0.95,100,0.95,908.6933658037982,906.7,601.131525,1189.6230874999999,0.5328763398011446,0.5385564682816488,0.4350396704330286,0.6210483762120151,64.64023081608501,64.49585655690319,42.62940247183496,84.7637371991897,411.6054552852986,419.05566541153183,266.60094044880276,568.2632104745031,14.0,14.0,14.0,14.0,1.51,2.0,1.0,2.0,0.02,0.0,0.0,0.07142857142857142,7.0,7.0,7.0,7.0
