seed,beta,r_i,dealer_pnl,spot_I,spot_S,n_contracts,n_settled
0,0.2,0.04000000000000001,-13.50360051728785,2.5670643467850125,4.741932543087228,2,2
1,0.2,0.04000000000000001,-5.7057675728574395,3.642837709673359,4.177303921218898,2,2
2,0.2,0.04000000000000001,-0.616780876996927,3.1354194735378487,3.5669216044033103,2,2
3,0.2,0.04000000000000001,-5.872473498689942,4.449372026124917,4.355281377090792,2,2
4,0.2,0.04000000000000001,0.7386997904395685,2.322775875477118,3.2688448180487923,2,2
5,0.2,0.04000000000000001,7.5334055366693065,5.4344752647896755,3.211714121284821,2,2
6,0.2,0.04000000000000001,9.990373315406032,4.677496208089153,2.81462153207264,2,2
7,0.2,0.04000000000000001,7.095785745070316,6.637683077567331,3.4961176630032043,2,2
8,0.2,0.04000000000000001,2.304935439489782,3.465174418122088,3.3407009616609686,2,2
9,0.2,0.04000000000000001,-2.5806374948006123,2.9825032613817397,3.7327240237577004,2,2
10,0.2,0.04000000000000001,14.61352955061011,4.23237359180038,2.2632813852909095,2,2
11,0.2,0.04000000000000001,5.922832046519034,3.642837709673359,3.0144439592775223,2,2
12,0.2,0.04000000000000001,0.9057775704422966,3.1354194735378482,3.414665759665259,2,2
13,0.2,0.04000000000000001,-18.15178201952949,2.6986805503124818,5.233073934009998,2,2
14,0.2,0.04000000000000001,7.126236519427039,3.8296099929682366,2.931457968645573,2,2
15,0.2,0.04000000000000001,-2.4395073938649148,3.2961758675448705,3.781345534894324,2,2
16,0.2,0.04000000000000001,17.01713825680781,2.837044860895655,1.7438547685004893,2,2
17,0.2,0.04000000000000001,1.4493166712345555,4.0259582960002955,3.538419614072001,2,2
18,0.2,0.04000000000000001,-0.809732175199315,3.465174418122088,3.6521677231378162,2,2
19,0.2,0.04000000000000001,-9.445982587523758,4.917316566972579,4.806221194134841,2,2
20,0.2,0.04000000000000001,-5.005347224068828,4.23237359180038,4.22516906276337,2,2
21,0.2,0.04000000000000001,-8.850857787998393,3.642837709673359,4.491812942724861,2,2
22,0.2,0.04000000000000001,1.536749339196831,3.1354194735378487,3.3515685827840898,2,2
23,0.2,0.04000000000000001,-0.8217182533117011,4.449372026124917,3.8502058525494443,2,2
24,0.2,0.04000000000000001,-16.531709602451883,3.8296099929682366,5.297252580829227,2,2
25,0.2,0.04000000000000001,6.262283674208447,3.2961758675448705,2.911166428076318,2,2
26,0.2,0.04000000000000001,10.593354817247018,2.837044860895655,2.38623311246,2,2
27,0.2,0.04000000000000001,5.422304257634096,4.0259582960002955,3.141120855439002,2,2
28,0.2,0.04000000000000001,-26.422066010767594,3.465174418122088,6.2134011066931425,2,2
29,0.2,0.04000000000000001,-15.360358900390565,4.917316566972579,5.3976588254283175,2,2
30,0.2,0.04000000000000001,-7.511632421752438,4.23237359180038,4.475797582529451,2,2
31,0.2,0.04000000000000001,-7.5159084716578946,6.006024017647005,4.830955272688612,2,2
32,0.2,0.04000000000000001,3.0409446054836735,5.169432778589249,3.607951717171615,2,2
33,0.2,0.04000000000000001,7.478590806596912,4.449372026124917,3.020174946559589,2,2
34,0.2,0.04000000000000001,7.512652062810957,3.8296099929682366,2.892816414309568,2,2
35,0.2,0.04000000000000001,4.540643586427905,5.4344752647896755,3.5109903163106133,2,2
36,0.2,0.04000000000000001,-5.630844309227541,2.837044860895655,4.008653025106755,2,2
37,0.2,0.04000000000000001,13.691956852097064,4.0259582960002955,2.3141555959861577,2,2
38,0.2,0.04000000000000001,3.055602042353712,2.1017345258429305,2.9929463229326934,2,2
39,0.2,0.04000000000000001,-24.192828001454473,2.9825032613817397,5.893943074417379,2,2
40,0.2,0.04000000000000001,3.1630266279680654,2.5670643467850125,3.07526982855442,2,2
41,0.2,0.04000000000000001,-5.808171861222945,6.006024017647005,4.660181611643047,2,2
42,0.2,0.04000000000000001,3.7918831711867824,3.1354194735378487,3.1260551995898065,2,2
43,0.2,0.04000000000000001,-5.873371818684973,4.449372026124917,4.3553712090911505,2,2
