n_p,gamma_ratio,crit_beta_empirical,crit_beta_analytic
10,1.0,0.8011776254358496,0.7745966692414834
10,2.0,0.5407349311527349,0.44721359549995787
10,3.0,0.1,0.0
10,4.0,0.1,0.0
10,6.0,0.1,0.0
10,8.0,0.1,0.0
10,12.0,0.1,0.0
20,1.0,0.898416186646924,0.8944271909999159
20,2.0,0.7818824529611917,0.7745966692414834
20,3.0,0.647948875851832,0.6324555320336759
20,4.0,0.47887993691337294,0.44721359549995787
20,6.0,0.1,0.0
20,8.0,0.1,0.0
20,12.0,0.1,0.0
40,1.0,0.9475576960937838,0.9486832980505138
40,2.0,0.8943723820095144,0.8944271909999159
40,3.0,0.836775669240231,0.8366600265340756
40,4.0,0.7751590453734053,0.7745966692414834
40,6.0,0.6313615671436122,0.6324555320336759
40,8.0,0.449505200596392,0.44721359549995787
40,12.0,0.1,0.0
