beta,reluctance,K,r_i,n,corr_S_I,volume_share_median,volume_share_p10,volume_share_p90,willing_clear_frac_mean,willing_clear_frac_p10,willing_clear_frac_p90,residual_risk_mean,clearing_spread_pct_mean,dealer_pnl_mean
0.2,0.0,1,0.04000000000000001,100,0.2,0.969544566531416,0.2023933809294164,1.0,0.7990677785635683,0.2023933809294164,1.0,2.243416448054169,6.714431950439423,2.8597407815768836
0.2,0.0,4,0.04000000000000001,100,0.2,0.8349332911321214,0.20478680530408105,1.0,0.6953505269662159,0.20478680530408105,1.0,2.910144254910849,10.289954987512992,3.8519032484566744
0.2,0.0,12,0.04000000000000001,100,0.2,0.5913022569343367,0.19290438708300167,0.9754350368625437,0.5711929908132627,0.19290438708300167,0.9754350368625437,3.006077634158913,12.854056967520208,5.01870598199622
0.2,1.0,1,0.04000000000000001,100,0.2,0.05953722588454234,0.0,0.07575626640717505,0.11693205108982581,0.0,0.17217089464879876,1.111955250825129,15.011198460528623,0.775468950493996
0.2,1.0,4,0.04000000000000001,100,0.2,0.1052615478946744,0.04817588020845491,0.16876110041262846,0.2076495767274124,0.07820526622114583,0.36640927324783507,1.4676866683736542,15.230481652727212,1.184615228269158
0.2,1.0,12,0.04000000000000001,100,0.2,0.12741804107777216,0.051859710905569005,0.2478052651373394,0.28216675722815493,0.10591494360780097,0.4861662531685942,1.7314076532166522,15.312859573432728,1.7570342069374019
0.45,0.0,1,0.2025,100,0.45000000000000007,1.0,0.23236763045712752,1.0,0.8153331279669179,0.23236763045712752,1.0,2.1931312925840887,6.371307363886572,2.7665664767426597
0.45,0.0,4,0.2025,100,0.45000000000000007,0.9108407022994873,0.30552442045404377,1.0,0.7599565997515164,0.30552442045404377,1.0,2.959454186816051,9.380894527797706,3.949326750439021
0.45,0.0,12,0.2025,100,0.45000000000000007,0.7183268887887764,0.2358758227730366,1.0,0.6903747467626303,0.2358758227730366,1.0,3.17445976862284,11.152237185408257,5.102952074134203
0.45,1.0,1,0.2025,100,0.45000000000000007,0.061366129964158966,0.05268776368384155,0.07797607962892762,0.13482073151622376,0.0882247686642204,0.18273558999136352,1.1715680486969113,14.415353773498659,0.7053641717729425
0.45,1.0,4,0.2025,100,0.45000000000000007,0.12435812201237217,0.061014482201202945,0.1921846208928364,0.2706864250109063,0.12836882549367779,0.46948282495775295,1.5911671525057458,13.949086070190296,1.332758328101723
0.45,1.0,12,0.2025,100,0.45000000000000007,0.19678403778958653,0.10404428337440505,0.33271368531320006,0.4326723432818192,0.19213227547557826,0.6748091399002473,1.99898888806676,13.557226616055486,2.270639024886428
0.63,0.0,1,0.39690000000000003,100,0.63,1.0,0.2640435770351543,1.0,0.84397467472951,0.2640435770351543,1.0,2.1153840356235074,5.648687630642863,2.616842899027738
0.63,0.0,4,0.39690000000000003,100,0.63,0.9669828348504654,0.3749268110824186,1.0,0.8201472372811304,0.3749268110824186,1.0,2.888725450048932,8.321711175038123,3.77684313030825
0.63,0.0,12,0.39690000000000003,100,0.63,0.9555822551711407,0.5593726179325926,1.0,0.854242183119255,0.5593726179325926,1.0,3.236477736649894,8.956758433679637,5.177686608079641
0.63,1.0,1,0.39690000000000003,100,0.63,0.06621592265216042,0.053109297321167474,0.11120817778982008,0.14979072176431243,0.09812448795532232,0.22625583664590818,1.1559410187054169,12.368663645874664,0.7591579095172573
0.63,1.0,4,0.39690000000000003,100,0.63,0.1683629815077077,0.07603052117105444,0.24582206487920968,0.3551862753297528,0.14162603373260116,0.5818840166170732,1.7763248168629555,12.973876422081561,1.6939952306763928
0.63,1.0,12,0.39690000000000003,100,0.63,0.31593782203470855,0.15319747077572918,0.4417976059499545,0.6286862464251628,0.32771021349808194,0.8690692844612284,2.3005510095366324,12.08929077230416,2.9096295001097627
0.8,0.0,1,0.6400000000000001,100,0.8,1.0,0.5002265934534654,1.0,0.8973604907406394,0.5002265934534654,1.0,1.9477272398612442,4.694858683426044,2.3289603856484185
0.8,0.0,4,0.6400000000000001,100,0.8,1.0,0.8204044206422176,1.0,0.9520400547936763,0.8204044206422176,1.0,2.6491912631173187,5.685101929959084,3.1340066960991884
0.8,0.0,12,0.6400000000000001,100,0.8,1.0,0.9713637596820249,1.0,0.9902293688567122,0.9713637596820249,1.0,2.8028587272640104,5.5452098174816005,3.926769886346219
0.8,1.0,1,0.6400000000000001,100,0.8,0.12762027282634703,0.1048540921014914,0.17007286906258448,0.27739250993983317,0.20971601037722468,0.37292162615162655,1.6463859085545294,13.610539206080334,1.4250838621572663
0.8,1.0,4,0.6400000000000001,100,0.8,0.3228606580132485,0.21701394987011077,0.4245079464451065,0.6548711790217451,0.43607347966162086,0.8633849729145572,2.3340043062757396,11.768796828989068,2.5599054130621255
0.8,1.0,12,0.6400000000000001,100,0.8,0.48162687367060497,0.31554420988408965,0.5950416616689443,0.9334132617522951,0.8112308438410669,1.0,2.4646549357992042,8.90794268519045,2.989852468885848
0.95,0.0,1,0.9025,100,0.9500000000000001,1.0,1.0,1.0,0.9961637023789045,1.0,1.0,1.3069866952838,1.8187595325803785,1.33422771430339
0.95,0.0,4,0.9025,100,0.9500000000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.453311919548487,1.5809788554036857,0.8465819659389076
0.95,0.0,12,0.9025,100,0.9500000000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.4691472940309143,1.502347880299389,1.0435362667216137
0.95,1.0,1,0.9025,100,0.9500000000000001,0.39951199353467437,0.31453165880664624,0.45767510197364086,0.801947657912803,0.672310087514574,1.0,2.5086615630144915,10.792866962662362,3.235603258676365
