seed,beta,reluctance,K,r_i,volume_share,willing_clear_frac,residual_risk,sum_Dk2,clearing_spread_pct,dealer_pnl,spot_I,spot_S0
0,0.2,0.0,1,0.04000000000000001,0.825472999044971,0.825472999044971,3.5423474288175822,13.298921572731404,10.849740736420175,1.3496619529195755,2.5670643467850125,4.741932543087228
1,0.2,0.0,1,0.04000000000000001,0.9042502866331009,0.9042502866331009,3.465241834453573,12.726272390698151,8.527216525869441,8.039420382066519,3.642837709673359,4.177303921218898
2,0.2,0.0,1,0.04000000000000001,1.0,1.0,1.444859073255907,2.2125092545723675,1.3802687706767858,1.1355519786596973,3.1354194735378487,3.5669216044033103
3,0.2,0.0,1,0.04000000000000001,0.2648671721623546,0.2648671721623546,2.803944980479701,8.332457209506499,20.16803182319259,2.2359057657349575,4.449372026124917,4.355281377090792
4,0.2,0.0,1,0.04000000000000001,1.0,1.0,1.333848240755493,1.8855886595627862,1.24257605328535,0.9910114104287416,2.322775875477118,3.2688448180487923
5,0.2,0.0,1,0.04000000000000001,1.0,1.0,1.4435481685057299,2.208496305213062,1.4708253555902064,2.1614558387248906,5.4344752647896755,3.211714121284821
6,0.2,0.0,1,0.04000000000000001,0.804991301137856,0.804991301137856,3.676087156197547,14.322067490153977,10.402217515221801,10.537615970057509,4.677496208089153,2.81462153207264
7,0.2,0.0,1,0.04000000000000001,1.0,1.0,2.278912252159491,5.50413812075187,3.7892674819566605,4.26145569907681,6.637683077567331,3.4961176630032043
8,0.2,0.0,1,0.04000000000000001,0.6916381460694853,0.6916381460694853,3.35925338435507,11.959682315754325,11.505188849100394,4.845181044881473,3.465174418122088,3.3407009616609686
9,0.2,0.0,1,0.04000000000000001,1.0,1.0,1.124186693386588,1.3394021684249964,0.7800212536317066,0.3332341190017781,2.9825032613817397,3.7327240237577004
10,0.2,0.0,1,0.04000000000000001,0.9351552619557111,0.9351552619557111,2.8984832667659934,8.903806472812233,6.00940245211924,-0.15996451929120958,4.23237359180038,2.2632813852909095
11,0.2,0.0,1,0.04000000000000001,1.0,1.0,3.5609261816184445,13.43878662653645,8.176732107590675,8.511345712402138,3.642837709673359,3.0144439592775223
12,0.2,0.0,1,0.04000000000000001,1.0,1.0,3.154537275327605,10.546429262277204,6.8652096949185175,5.269706389475818,3.1354194735378482,3.414665759665259
13,0.2,0.0,1,0.04000000000000001,1.0,1.0,2.7444177252917714,7.982419512026284,4.981147499557204,-1.362540586397257,2.6986805503124818,5.233073934009998
14,0.2,0.0,1,0.04000000000000001,0.8130419532943083,0.8130419532943083,4.024873661753595,17.168747846612757,12.184958516967948,5.147034514526769,3.8296099929682366,2.931457968645573
15,0.2,0.0,1,0.04000000000000001,0.9676733966285147,0.9676733966285147,3.2198119858595398,10.987405235109573,6.990281664048301,5.9922243522278515,3.2961758675448705,3.781345534894324
16,0.2,0.0,1,0.04000000000000001,0.7209914313023897,0.7209914313023897,3.305925390960534,11.582977508758244,10.361940212011818,11.256145666347653,2.837044860895655,1.7438547685004893
