K,rho_sku,beta,r_i,n,willing_clear_frac_mean,willing_clear_frac_p10,willing_clear_frac_p90,volume_share_median,residual_risk_mean,clearing_spread_pct_mean
4,0.0,0.2,0.04000000000000001,100,0.2076495767274124,0.07820526622114583,0.36640927324783507,0.1052615478946744,1.4676866683736542,15.230481652727212
4,0.0,0.45,0.2025,100,0.2706864250109063,0.12836882549367779,0.46948282495775295,0.12435812201237217,1.5911671525057458,13.949086070190296
4,0.0,0.63,0.39690000000000003,100,0.3551862753297528,0.14162603373260116,0.5818840166170732,0.1683629815077077,1.7763248168629555,12.973876422081561
4,0.0,0.8,0.6400000000000001,100,0.6548711790217451,0.43607347966162086,0.8633849729145572,0.3228606580132485,2.3340043062757396,11.768796828989068
4,0.0,0.95,0.9025,100,1.0,1.0,1.0,0.5017664010299734,1.8676186113603739,4.685066587939286
4,0.0,1.0,1.0,100,1.0,1.0,1.0,0.5017664010299734,0.0,0.0
4,0.5,0.2,0.04000000000000001,100,0.11693205108982581,0.0,0.17217089464879876,0.05953722588454234,1.111955250825129,15.011198460528623
4,0.5,0.45,0.2025,100,0.1459496650767145,0.09601989067124624,0.21328018350825884,0.06377222963873588,1.2554143556113133,15.109353834922494
4,0.5,0.63,0.39690000000000003,100,0.22359776616697563,0.13040985287960336,0.3184701772154892,0.11248126554784596,1.521082207236685,14.634843824415471
4,0.5,0.8,0.6400000000000001,100,0.38024985428555874,0.25583983158277085,0.530395175022776,0.1821445149517302,1.9482544609479073,13.971621273825322
4,0.5,0.95,0.9025,100,0.9404461449014572,0.8475671351765369,1.0,0.47896942277142085,2.456631957686065,8.657576069635782
4,0.5,1.0,1.0,100,1.0,1.0,1.0,0.5017664010299734,0.0,0.0
4,0.9,0.2,0.04000000000000001,100,0.11693205108982581,0.0,0.17217089464879876,0.05953722588454234,1.111955250825129,15.011198460528623
4,0.9,0.45,0.2025,100,0.13482073151622376,0.0882247686642204,0.18273558999136352,0.061366129964158966,1.1715680486969111,14.415353773498659
4,0.9,0.63,0.39690000000000003,100,0.1593429849915084,0.10555553893661974,0.23361674388415163,0.06874905386108102,1.229801899573741,13.060399213385036
4,0.9,0.8,0.6400000000000001,100,0.29580333823720373,0.21186517963953733,0.4054216732794214,0.13824301145302176,1.7209469127011963,13.915316389028469
4,0.9,0.95,0.9025,100,0.8293657762502442,0.6830875193106177,1.0,0.41385470456471624,2.513581959721851,10.45918175271156
4,0.9,1.0,1.0,100,1.0,1.0,1.0,0.5017664010299734,0.0,0.0
4,1.0,0.2,0.04000000000000001,100,0.11693205108982581,0.0,0.17217089464879876,0.05953722588454234,1.111955250825129,15.011198460528623
4,1.0,0.45,0.2025,100,0.13482073151622376,0.0882247686642204,0.18273558999136352,0.061366129964158966,1.1715680486969113,14.415353773498659
4,1.0,0.63,0.39690000000000003,100,0.14979072176431243,0.09812448795532232,0.22625583664590818,0.06621592265216042,1.1559410187054169,12.368663645874664
4,1.0,0.8,0.6400000000000001,100,0.27739250993983317,0.20971601037722468,0.37292162615162655,0.12762027282634703,1.6463859085545294,13.610539206080334
4,1.0,0.95,0.9025,100,0.801947657912803,0.672310087514574,1.0,0.39951199353467437,2.5086615630144915,10.792866962662362
4,1.0,1.0,1.0,100,1.0,1.0,1.0,0.5017664010299734,0.0,0.0
12,0.0,0.2,0.04000000000000001,100,0.28216675722815493,0.10591494360780097,0.4861662531685942,0.12741804107777216,1.7314076532166522,15.312859573432728
12,0.0,0.45,0.2025,100,0.4326723432818192,0.19213227547557826,0.6748091399002473,0.19678403778958653,1.99898888806676,13.557226616055486
12,0.0,0.63,0.39690000000000003,100,0.6286862464251628,0.32771021349808194,0.8690692844612284,0.31593782203470855,2.3005510095366324,12.08929077230416
12,0.0,0.8,0.6400000000000001,100,0.9334132617522951,0.8112308438410669,1.0,0.48162687367060497,2.4646549357992042,8.90794268519045
12,0.0,0.95,0.9025,100,1.0,1.0,1.0,0.5017664010299734,1.3608767439991525,2.500962143131644
12,0.0,1.0,1.0,100,1.0,1.0,1.0,0.5017664010299734,0.0,0.0
12,0.5,0.2,0.04000000000000001,100,0.11693205108982581,0.0,0.17217089464879876,0.05953722588454234,1.111955250825129,15.011198460528623
12,0.5,0.45,0.2025,100,0.14866740274249085,0.09812448795532232,0.22156850926447963,0.06535759121259388,1.2788115700697473,15.301039723905966
12,0.5,0.63,0.39690000000000003,100,0.24128987477369346,0.14357985723813682,0.32841858317388656,0.11698772589130788,1.6135281281007607,15.215409138445553
12,0.5,0.8,0.6400000000000001,100,0.40874256092484523,0.306726299629802,0.535904492848312,0.19673806408650366,2.0079482351031146,13.73721943235308
12,0.5,0.95,0.9025,100,0.9698522882983511,0.8874612809951488,1.0,0.49152475732494505,2.392494058559136,7.92443369158547
12,0.5,1.0,1.0,100,1.0,1.0,1.0,0.5017664010299734,0.0,0.0
12,0.9,0.2,0.04000000000000001,100,0.11693205108982581,0.0,0.17217089464879876,0.05953722588454234,1.111955250825129,15.011198460528623
