reluctance,n_dealers,risk_factor,n,volume_share_median,volume_share_p10,volume_share_p90,mean_faced_spread,max_dealer_net_mean
0.0,1,0.0,50,1.0,0.9166666666666666,1.0,0.040000000000000036,2.52
0.0,1,0.05,50,0.9166666666666666,0.8250000000000001,1.0,0.08962424242424245,2.54
0.0,1,0.1,50,0.75,0.6666666666666666,0.925,0.13993939393939397,2.12
0.0,1,0.2,50,0.5833333333333334,0.3333333333333333,0.6666666666666666,0.23166666666666666,1.72
0.0,2,0.0,50,1.0,1.0,1.0,0.040000000000000036,1.38
0.0,2,0.05,50,1.0,0.9083333333333333,1.0,0.06758333333333337,1.56
0.0,2,0.1,50,0.9166666666666666,0.8333333333333334,1.0,0.09650000000000004,1.56
0.0,2,0.2,50,0.7916666666666667,0.4833333333333334,1.0,0.164,1.44
0.0,4,0.0,50,1.0,1.0,1.0,0.040000000000000036,0.92
0.0,4,0.05,50,1.0,1.0,1.0,0.05775000000000005,1.22
0.0,4,0.1,50,1.0,0.9083333333333333,1.0,0.07666666666666673,1.22
0.0,4,0.2,50,0.9166666666666666,0.5,1.0,0.12366666666666669,1.16
1.0,1,0.0,50,0.5416666666666667,0.3333333333333333,0.5833333333333334,0.040000000000000036,6.06
1.0,1,0.05,50,0.3333333333333333,0.25,0.5,0.16565714285714292,4.4
1.0,1,0.1,50,0.25,0.16666666666666666,0.3333333333333333,0.2397380952380953,2.98
1.0,1,0.2,50,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.33099047619047617,1.92
1.0,2,0.0,50,0.5416666666666667,0.3333333333333333,0.75,0.040000000000000036,3.48
1.0,2,0.05,50,0.5,0.325,0.5833333333333334,0.09627142857142863,3.04
1.0,2,0.1,50,0.4166666666666667,0.25,0.5,0.14682857142857147,2.5
1.0,2,0.2,50,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.22406349206349205,1.86
1.0,4,0.0,50,0.5416666666666667,0.3333333333333333,0.75,0.040000000000000036,2.0
1.0,4,0.05,50,0.5,0.3333333333333333,0.6666666666666666,0.05855238095238101,1.9
1.0,4,0.1,50,0.5,0.3333333333333333,0.6666666666666666,0.07666031746031753,1.86
1.0,4,0.2,50,0.4166666666666667,0.3333333333333333,0.5833333333333334,0.11109841269841271,1.68
