seed,n_dealers,risk_factor,reluctance,volume_share,mean_faced_spread,max_dealer_net,mean_dealer_net
0,1,0.0,0.0,1.0,0.040000000000000036,2.0,2.0
1,1,0.0,0.0,0.75,0.040000000000000036,5.0,5.0
2,1,0.0,0.0,1.0,0.040000000000000036,2.0,2.0
3,1,0.0,0.0,1.0,0.040000000000000036,6.0,6.0
4,1,0.0,0.0,1.0,0.040000000000000036,4.0,4.0
5,1,0.0,0.0,1.0,0.040000000000000036,4.0,4.0
6,1,0.0,0.0,1.0,0.040000000000000036,2.0,2.0
7,1,0.0,0.0,1.0,0.040000000000000036,4.0,4.0
8,1,0.0,0.0,0.8333333333333334,0.040000000000000036,4.0,4.0
9,1,0.0,0.0,1.0,0.040000000000000036,4.0,4.0
10,1,0.0,0.0,1.0,0.040000000000000036,2.0,2.0
11,1,0.0,0.0,1.0,0.040000000000000036,4.0,4.0
12,1,0.0,0.0,1.0,0.040000000000000036,2.0,2.0
13,1,0.0,0.0,1.0,0.040000000000000036,2.0,2.0
14,1,0.0,0.0,1.0,0.040000000000000036,0.0,0.0
15,1,0.0,0.0,1.0,0.040000000000000036,0.0,0.0
16,1,0.0,0.0,1.0,0.040000000000000036,2.0,2.0
17,1,0.0,0.0,0.8333333333333334,0.040000000000000036,4.0,4.0
18,1,0.0,0.0,0.8333333333333334,0.040000000000000036,4.0,4.0
19,1,0.0,0.0,1.0,0.040000000000000036,0.0,0.0
20,1,0.0,0.0,1.0,0.040000000000000036,6.0,6.0
21,1,0.0,0.0,1.0,0.040000000000000036,4.0,4.0
22,1,0.0,0.0,1.0,0.040000000000000036,0.0,0.0
23,1,0.0,0.0,1.0,0.040000000000000036,2.0,2.0
24,1,0.0,0.0,1.0,0.040000000000000036,0.0,0.0
25,1,0.0,0.0,1.0,0.040000000000000036,0.0,0.0
26,1,0.0,0.0,1.0,0.040000000000000036,4.0,4.0
27,1,0.0,0.0,0.9166666666666666,0.040000000000000036,3.0,3.0
28,1,0.0,0.0,1.0,0.040000000000000036,4.0,4.0
29,1,0.0,0.0,1.0,0.040000000000000036,6.0,6.0
30,1,0.0,0.0,1.0,0.040000000000000036,6.0,6.0
31,1,0.0,0.0,1.0,0.040000000000000036,0.0,0.0
32,1,0.0,0.0,1.0,0.040000000000000036,0.0,0.0
33,1,0.0,0.0,1.0,0.040000000000000036,6.0,6.0
34,1,0.0,0.0,1.0,0.040000000000000036,2.0,2.0
35,1,0.0,0.0,1.0,0.040000000000000036,2.0,2.0
36,1,0.0,0.0,0.9166666666666666,0.040000000000000036,3.0,3.0
37,1,0.0,0.0,1.0,0.040000000000000036,0.0,0.0
38,1,0.0,0.0,1.0,0.040000000000000036,0.0,0.0
39,1,0.0,0.0,1.0,0.040000000000000036,0.0,0.0
40,1,0.0,0.0,1.0,0.040000000000000036,6.0,6.0
41,1,0.0,0.0,1.0,0.040000000000000036,2.0,2.0
42,1,0.0,0.0,0.9166666666666666,0.040000000000000036,3.0,3.0
43,1,0.0,0.0,1.0,0.040000000000000036,0.0,0.0
44,1,0.0,0.0,1.0,0.040000000000000036,0.0,0.0
45,1,0.0,0.0,1.0,0.040000000000000036,6.0,6.0
46,1,0.0,0.0,1.0,0.040000000000000036,0.0,0.0
47,1,0.0,0.0,1.0,0.040000000000000036,0.0,0.0
48,1,0.0,0.0,1.0,0.040000000000000036,2.0,2.0
49,1,0.0,0.0,1.0,0.040000000000000036,2.0,2.0
0,1,0.05,0.0,0.9166666666666666,0.08583333333333337,3.0,3.0
1,1,0.05,0.0,0.75,0.13090909090909092,5.0,5.0
2,1,0.05,0.0,0.8333333333333334,0.08583333333333337,2.0,2.0
3,1,0.05,0.0,0.9166666666666666,0.11500000000000005,5.0,5.0
4,1,0.05,0.0,0.75,0.09833333333333336,3.0,3.0
5,1,0.05,0.0,0.9166666666666666,0.10250000000000002,5.0,5.0
6,1,0.05,0.0,0.9166666666666666,0.08583333333333337,3.0,3.0
7,1,0.05,0.0,0.9166666666666666,0.09000000000000004,3.0,3.0
8,1,0.05,0.0,0.8333333333333334,0.08500000000000002,4.0,4.0
9,1,0.05,0.0,0.9166666666666666,0.09000000000000004,3.0,3.0
10,1,0.05,0.0,0.9166666666666666,0.08583333333333337,3.0,3.0
11,1,0.05,0.0,0.75,0.09833333333333336,3.0,3.0
12,1,0.05,0.0,0.8333333333333334,0.08583333333333337,2.0,2.0
13,1,0.05,0.0,0.8333333333333334,0.08583333333333337,2.0,2.0
14,1,0.05,0.0,0.9166666666666666,0.08166666666666669,1.0,1.0
15,1,0.05,0.0,1.0,0.08166666666666669,0.0,0.0
16,1,0.05,0.0,0.9166666666666666,0.08583333333333337,3.0,3.0
17,1,0.05,0.0,0.8333333333333334,0.08500000000000002,4.0,4.0
18,1,0.05,0.0,0.8333333333333334,0.08500000000000002,4.0,4.0
19,1,0.05,0.0,1.0,0.08166666666666669,0.0,0.0
20,1,0.05,0.0,0.8333333333333334,0.11083333333333335,4.0,4.0
21,1,0.05,0.0,1.0,0.09000000000000004,4.0,4.0
22,1,0.05,0.0,1.0,0.08166666666666669,0.0,0.0
23,1,0.05,0.0,1.0,0.07333333333333335,2.0,2.0
24,1,0.05,0.0,1.0,0.08166666666666669,0.0,0.0
25,1,0.05,0.0,1.0,0.08166666666666669,0.0,0.0
26,1,0.05,0.0,1.0,0.09000000000000004,4.0,4.0
27,1,0.05,0.0,0.9166666666666666,0.07181818181818184,3.0,3.0
28,1,0.05,0.0,0.9166666666666666,0.09000000000000004,3.0,3.0
29,1,0.05,0.0,0.75,0.1358333333333334,5.0,5.0
30,1,0.05,0.0,0.9166666666666666,0.11500000000000005,5.0,5.0
31,1,0.05,0.0,0.8333333333333334,0.08583333333333336,2.0,2.0
32,1,0.05,0.0,0.9166666666666666,0.08166666666666669,1.0,1.0
33,1,0.05,0.0,0.8333333333333334,0.11083333333333335,4.0,4.0
34,1,0.05,0.0,1.0,0.07333333333333335,2.0,2.0
35,1,0.05,0.0,0.9166666666666666,0.08583333333333337,3.0,3.0
36,1,0.05,0.0,0.8333333333333334,0.07750000000000001,2.0,2.0
37,1,0.05,0.0,1.0,0.08166666666666669,0.0,0.0
38,1,0.05,0.0,0.8333333333333334,0.08583333333333336,2.0,2.0
39,1,0.05,0.0,1.0,0.08166666666666669,0.0,0.0
40,1,0.05,0.0,0.9166666666666666,0.11500000000000005,5.0,5.0
41,1,0.05,0.0,0.8333333333333334,0.08583333333333337,2.0,2.0
42,1,0.05,0.0,0.9166666666666666,0.07181818181818184,3.0,3.0
43,1,0.05,0.0,0.8333333333333334,0.08583333333333336,2.0,2.0
44,1,0.05,0.0,1.0,0.08166666666666669,0.0,0.0
45,1,0.05,0.0,0.8333333333333334,0.11083333333333335,4.0,4.0
46,1,0.05,0.0,0.9166666666666666,0.08166666666666669,1.0,1.0
47,1,0.05,0.0,0.75,0.09000000000000004,3.0,3.0
48,1,0.05,0.0,0.9166666666666666,0.0816666666666667,1.0,1.0
49,1,0.05,0.0,1.0,0.06500000000000002,2.0,2.0
0,1,0.1,0.0,0.5833333333333334,0.1566666666666667,3.0,3.0
1,1,0.1,0.0,0.5833333333333334,0.20666666666666672,3.0,3.0
2,1,0.1,0.0,0.8333333333333334,0.1316666666666667,2.0,2.0
3,1,0.1,0.0,0.75,0.16500000000000006,3.0,3.0
4,1,0.1,0.0,0.5,0.14833333333333337,2.0,2.0
5,1,0.1,0.0,0.75,0.1566666666666667,3.0,3.0
6,1,0.1,0.0,0.75,0.14833333333333337,3.0,3.0
7,1,0.1,0.0,0.8333333333333334,0.1316666666666667,2.0,2.0
8,1,0.1,0.0,0.75,0.16500000000000004,3.0,3.0
9,1,0.1,0.0,0.8333333333333334,0.1316666666666667,2.0,2.0
10,1,0.1,0.0,0.75,0.14833333333333337,3.0,3.0
11,1,0.1,0.0,0.6666666666666666,0.14000000000000004,2.0,2.0
12,1,0.1,0.0,0.6666666666666666,0.14000000000000004,2.0,2.0
13,1,0.1,0.0,0.75,0.14833333333333337,3.0,3.0
14,1,0.1,0.0,0.9166666666666666,0.1066666666666667,1.0,1.0
15,1,0.1,0.0,0.8333333333333334,0.1316666666666667,2.0,2.0
16,1,0.1,0.0,0.75,0.14833333333333337,3.0,3.0
17,1,0.1,0.0,0.75,0.16500000000000004,3.0,3.0
18,1,0.1,0.0,0.75,0.16500000000000004,3.0,3.0
19,1,0.1,0.0,1.0,0.12333333333333338,0.0,0.0
