seed,beta,buffer_frac,ruined,ruin_epoch,basket_pnl,otc_pnl,net_pnl,min_basket,max_basket
0,1.0,0.05,1.0,1,-4.75,17.488969937861633,12.738969937861633,1.7511030062138369,3.5
1,1.0,0.05,0.0,0,0.9288972540899021,-0.9288972540899021,0.0,3.5,3.8752252448061375
2,1.0,0.05,0.0,0,5.678397703422398,-5.6783977034224,-1.7763568394002505e-15,3.092526995009131,4.06783977034224
3,1.0,0.05,0.0,0,12.342162543424344,-12.342162543424342,1.7763568394002505e-15,3.5,5.057134800038236
4,1.0,0.05,0.0,0,12.250941194806394,-12.25094119480639,3.552713678800501e-15,3.5,4.725094119480639
5,1.0,0.05,0.0,0,-3.8893498247756932,3.889349824775694,8.881784197001252e-16,3.1110650175224306,3.9536354672598906
6,1.0,0.05,0.0,0,-0.6002857794768204,0.6002857794768213,8.881784197001252e-16,3.1479755085654326,3.6435759571492836
7,1.0,0.05,1.0,2,-4.75,1.7609786926535298,-2.98902130734647,2.697455353460853,3.5
8,1.0,0.05,0.0,0,3.969516103309463,-3.969516103309463,0.0,3.0867188676738704,3.8969516103309463
9,1.0,0.05,0.0,0,-2.0843201406211804,2.0843201406211787,-1.7763568394002505e-15,3.291567985937882,4.163096141567564
10,1.0,0.05,0.0,0,1.8826274589418333,-1.8826274589418324,8.881784197001252e-16,3.2257683554424497,3.9791710367157567
11,1.0,0.05,0.0,0,5.8345178304832785,-5.834517830483277,1.7763568394002505e-15,3.1157701081098357,4.083451783048328
12,1.0,0.05,1.0,3,-4.75,8.11886547902796,3.36886547902796,2.6082473851607233,3.5
13,1.0,0.05,0.0,0,-2.8984219168746748,2.898421916874674,-8.881784197001252e-16,3.2101578083125326,4.0115551501152265
14,1.0,0.05,1.0,1,-4.75,1.6754992166447558,-3.0745007833552442,2.9616928551181525,3.5
15,1.0,0.05,1.0,5,-4.75,9.261832302409477,4.511832302409477,2.5738167697590524,3.590767600137735
16,1.0,0.05,0.0,0,9.553396603827544,-9.553396603827542,1.7763568394002505e-15,3.5,4.455339660382754
17,1.0,0.05,0.0,0,6.995805371006103,-6.995805371006103,0.0,3.5,4.229925392577549
18,1.0,0.05,1.0,4,-4.75,7.945114668459232,3.195114668459232,2.6056188127031024,3.5
19,1.0,0.05,0.0,0,-1.2714011390171152,1.2714011390171143,-8.881784197001252e-16,3.3728598860982886,4.437829085858944
20,1.0,0.05,1.0,3,-4.75,11.98016208378052,7.23016208378052,2.301983791621948,3.6025867483801166
21,1.0,0.05,0.0,0,0.334670994134612,-0.3346709941346093,2.6645352591003757e-15,3.2467930445395474,4.093073568693812
22,1.0,0.05,1.0,2,-4.75,-0.24240048572480077,-4.992400485724801,2.9045716237144137,3.568055540910777
23,1.0,0.05,0.0,0,4.974182318014805,-4.974182318014804,8.881784197001252e-16,3.5,4.831292560410493
24,1.0,0.05,1.0,5,-4.75,7.248430492360365,2.498430492360365,2.7751569507639635,3.5
25,1.0,0.05,0.0,0,6.829832462204884,-6.829832462204886,-1.7763568394002505e-15,3.201775024924005,4.182983246220489
26,1.0,0.05,0.0,0,9.952850543074899,-9.9528505430749,-1.7763568394002505e-15,3.296047113189794,4.49528505430749
27,1.0,0.05,0.0,0,10.85569629814622,-10.855696298146222,-1.7763568394002505e-15,3.5,4.585569629814622
28,1.0,0.05,1.0,5,-4.75,8.66407441240102,3.9140744124010194,2.633592558759898,3.5
