seed,liquidity,spot,hedged_qty,unhedged_rev,hedged_rev
0,0.25,2.5670643467850125,25.0,256.70643467850124,277.07576490500315
1,0.25,3.642837709673359,25.0,364.2837709673359,357.7587671216343
2,0.25,3.1354194735378487,25.0,313.54194735378485,319.7023994114651
3,0.25,4.449372026124917,25.0,444.93720261249166,418.2488408554933
4,0.25,2.322775875477118,25.0,232.2775875477118,258.7541295569126
5,0.25,5.4344752647896755,25.0,543.4475264789676,492.1315837553434
6,0.25,4.677496208089153,25.0,467.74962080891527,435.3581545028148
7,0.25,6.637683077567331,25.0,663.7683077567331,582.3721697136775
8,0.25,3.465174418122088,25.0,346.5174418122088,344.4340202552749
9,0.25,2.9825032613817397,25.0,298.250326138174,308.2336834997646
10,0.25,4.23237359180038,25.0,423.237359180038,401.9739582811555
11,0.25,3.642837709673359,25.0,364.2837709673359,357.7587671216343
12,0.25,3.1354194735378482,25.0,313.54194735378485,319.7023994114651
13,0.25,2.6986805503124818,25.0,269.86805503124816,286.94698016955846
14,0.25,3.8296099929682366,25.0,382.9609992968237,371.76668836873995
15,0.25,3.2961758675448705,25.0,329.61758675448704,331.7591289619949
16,0.25,2.837044860895655,25.0,283.7044860895655,297.3243034633012
17,0.25,4.0259582960002955,25.0,402.59582960002956,386.49281109614606
18,0.25,3.465174418122088,25.0,346.5174418122088,344.4340202552749
19,0.25,4.917316566972579,25.0,491.73165669725785,453.3446814190676
20,0.25,4.23237359180038,25.0,423.237359180038,401.9739582811555
21,0.25,3.642837709673359,25.0,364.2837709673359,357.7587671216343
22,0.25,3.1354194735378487,25.0,313.54194735378485,319.7023994114651
23,0.25,4.449372026124917,25.0,444.93720261249166,418.2488408554933
24,0.25,3.8296099929682366,25.0,382.9609992968237,371.76668836873995
25,0.25,3.2961758675448705,25.0,329.61758675448704,331.7591289619949
26,0.25,2.837044860895655,25.0,283.7044860895655,297.3243034633012
27,0.25,4.0259582960002955,25.0,402.59582960002956,386.49281109614606
28,0.25,3.465174418122088,25.0,346.5174418122088,344.4340202552749
29,0.25,4.917316566972579,25.0,491.73165669725785,453.3446814190676
30,0.25,4.23237359180038,25.0,423.237359180038,401.9739582811555
31,0.25,6.006024017647005,25.0,600.6024017647005,534.9977402196537
32,0.25,5.169432778589249,25.0,516.9432778589248,472.25339729031793
33,0.25,4.449372026124917,25.0,444.93720261249166,418.2488408554933
34,0.25,3.8296099929682366,25.0,382.9609992968237,371.76668836873995
35,0.25,5.4344752647896755,25.0,543.4475264789676,492.1315837553434
36,0.25,2.837044860895655,25.0,283.7044860895655,297.3243034633012
37,0.25,4.0259582960002955,25.0,402.59582960002956,386.49281109614606
38,0.25,2.1017345258429305,25.0,210.17345258429305,242.1760283343483
39,0.25,2.9825032613817397,25.0,298.250326138174,308.2336834997646
40,0.25,2.5670643467850125,25.0,256.70643467850124,277.07576490500315
41,0.25,6.006024017647005,25.0,600.6024017647005,534.9977402196537
42,0.25,3.1354194735378487,25.0,313.54194735378485,319.7023994114651
43,0.25,4.449372026124917,25.0,444.93720261249166,418.2488408554933
44,0.25,3.8296099929682357,25.0,382.96099929682356,371.76668836873984
45,0.25,5.4344752647896755,25.0,543.4475264789676,492.1315837553434
46,0.25,2.837044860895655,25.0,283.7044860895655,297.3243034633012
47,0.25,4.025958296000295,25.0,402.59582960002945,386.49281109614594
48,0.25,3.465174418122088,25.0,346.5174418122088,344.4340202552749
49,0.25,4.917316566972579,25.0,491.73165669725785,453.3446814190676
50,0.25,2.5670643467850125,25.0,256.70643467850124,277.07576490500315
51,0.25,3.642837709673359,25.0,364.2837709673359,357.7587671216343
52,0.25,3.1354194735378487,25.0,313.54194735378485,319.7023994114651
53,0.25,4.449372026124917,25.0,444.93720261249166,418.2488408554933
54,0.25,3.8296099929682366,25.0,382.9609992968237,371.76668836873995
55,0.25,3.2961758675448705,25.0,329.61758675448704,331.7591289619949
56,0.25,4.677496208089153,25.0,467.74962080891527,435.3581545028148
57,0.25,4.025958296000295,25.0,402.59582960002945,386.49281109614594
58,0.25,3.465174418122088,25.0,346.5174418122088,344.4340202552749
59,0.25,2.9825032613817397,25.0,298.250326138174,308.2336834997646
60,0.25,2.5670643467850125,25.0,256.70643467850124,277.07576490500315
61,0.25,2.209492759274241,25.0,220.94927592742408,250.2578958416949
62,0.25,3.1354194735378487,25.0,313.54194735378485,319.7023994114651
63,0.25,1.6368324945346824,25.0,163.68324945346825,207.30837598622742
64,0.25,2.322775875477118,25.0,232.2775875477118,258.7541295569126
65,0.25,3.2961758675448705,25.0,329.61758675448704,331.7591289619949
66,0.25,4.677496208089153,25.0,467.74962080891527,435.3581545028148
67,0.25,2.4418671412486086,25.0,244.18671412486086,267.6859744897615
68,0.25,3.465174418122088,25.0,346.5174418122088,344.4340202552749
69,0.25,2.9825032613817397,25.0,298.250326138174,308.2336834997646
70,0.25,4.23237359180038,25.0,423.237359180038,401.9739582811555
