seed,neg_fill,list_fill,neg_rate,list_rate,neg_share,list_share,neg_welfare,list_welfare
0,0.5275,0.3675,3.812339381250727,3.280342741182997,0.6283483201654498,0.6139550211063213,1.0,0.9225630691516221
1,0.515,0.36,3.7076328387353468,3.5266602500527218,0.6406542422529354,0.5557757194785645,1.0,0.9265861366691419
2,0.5375,0.375,3.8106688111656584,3.5832966130750044,0.6422602940851933,0.5923997464278847,1.0,0.9195607835278239
3,0.5,0.3325,3.591109785189433,3.40996076522192,0.6359709542342914,0.5635720839312091,1.0,0.9074376633223005
4,0.505,0.3525,3.7386048525144906,3.4808184266771165,0.6460470216948907,0.5715931811331105,1.0,0.9319827470748456
5,0.51,0.3325,3.5794581835228234,3.445125165072237,0.6507055657341205,0.5837758038763524,1.0,0.9059024431386007
6,0.4625,0.32,3.7408874128179512,3.5811269828395806,0.6449767128833819,0.5732098549394182,1.0,0.9273352319543514
7,0.5575,0.395,3.6704474667663756,3.3805402546376158,0.6347902122924556,0.6154914075757385,1.0,0.9349526076438194
8,0.4575,0.3125,3.591704228771849,3.488151895730365,0.6583686358405684,0.5721660695215515,1.0,0.911814345229691
9,0.53,0.365,3.7057045264558424,3.489988786060547,0.6435185660137003,0.5802612250710505,1.0,0.9186954992926653
10,0.4825,0.3275,3.537199401912446,3.311170791854923,0.6434841896073459,0.6017147088462343,1.0,0.9394583871981783
11,0.52,0.37,3.823544054235375,3.5781804870510534,0.6357917893049102,0.588609055666591,1.0,0.9361665372980296
12,0.495,0.285,3.5983953219934564,3.2769752028867933,0.6379814127292712,0.5918950873760458,1.0,0.8796923685094934
13,0.505,0.315,3.802688288022556,3.4201087021264467,0.6319341258973131,0.5964294133787462,1.0,0.9110188067481336
14,0.5,0.34,3.6765706177953734,3.492730894770247,0.6466338759779472,0.5696326456501535,1.0,0.9218696673847437
15,0.5625,0.395,3.72646502684168,3.356341716097227,0.6265351737738805,0.6165185539064861,1.0,0.9261569469878607
16,0.46,0.345,3.7171065253406286,3.40970316880862,0.6415316643248329,0.5896246563135759,1.0,0.9461823195837842
17,0.48,0.3075,3.641897017159169,3.4178425081185253,0.6430799279324665,0.5445811727147378,1.0,0.8937393222900696
18,0.4625,0.3125,3.6881483578436094,3.4165702345732765,0.6368811615668527,0.5897523171462049,1.0,0.9243067206805019
19,0.5025,0.305,3.832683257327711,3.4476306061742585,0.6402466310911107,0.6003229063478153,1.0,0.9055965874910984
20,0.5225,0.3525,3.768120660781847,3.441950962583903,0.6415789187960937,0.6052152786500457,1.0,0.9085271778391468
21,0.535,0.38,3.615794506160193,3.3302832223120284,0.6405277380332376,0.602401815248938,1.0,0.9357561784934537
22,0.4525,0.3075,3.8662001891729805,3.5164422918464897,0.6331292317528755,0.6208466766983314,1.0,0.9339055459633999
23,0.515,0.35,3.727450627194432,3.3593253908022245,0.6399919226871806,0.5824020999726239,1.0,0.9223016591513914
24,0.52,0.37,3.6742324498157606,3.325558753460863,0.6305802417578511,0.5820725432967969,1.0,0.9304809331183032
25,0.53,0.3525,3.558423638624565,3.2816011747848006,0.6435355942965103,0.5681165449487425,1.0,0.904856709954103
26,0.5,0.34,3.7535549947891824,3.5398541334268594,0.646841826402895,0.5511217025845793,1.0,0.9120571899369473
27,0.48,0.335,3.7065613775703574,3.4734329560714925,0.6561793635036798,0.5753032740640792,1.0,0.9162011852648235
28,0.4875,0.29,3.7499805921918328,3.44118673430022,0.6388706095654654,0.601700248995635,1.0,0.8826689378158312
29,0.5175,0.3675,3.7217480451942326,3.5515951208300174,0.6645463691920505,0.5636198006740911,1.0,0.9175754528748308
30,0.47,0.305,3.7730774451284432,3.384760535537649,0.6293456182785837,0.5983819470966617,1.0,0.9101073545484003
31,0.5275,0.36,3.7279832121139758,3.447688352489669,0.6479893165657661,0.582667345362308,1.0,0.9167198779114444
32,0.4775,0.33,3.7750775328907245,3.3633764246792275,0.6354710684009977,0.611542902210029,1.0,0.9223482447723512
