cell_index,cell_label,n_seeds,epoch,override_planner.planner_type,override_planner.learning_rate,override_taxation.allow_non_monotone,total_production_mean,total_production_median,total_production_p10,total_production_p90,gini_coefficient_mean,gini_coefficient_median,gini_coefficient_p10,gini_coefficient_p90,welfare_mean,welfare_median,welfare_p10,welfare_p90,total_tax_revenue_mean,total_tax_revenue_median,total_tax_revenue_p10,total_tax_revenue_p90,total_audits_mean,total_audits_median,total_audits_p10,total_audits_p90,total_catches_mean,total_catches_median,total_catches_p10,total_catches_p90,bunching_intensity_mean,bunching_intensity_median,bunching_intensity_p10,bunching_intensity_p90,enforcement_cost_mean,enforcement_cost_median,enforcement_cost_p10,enforcement_cost_p90
0,planner_type=heuristic_learning_rate=0.01_allow_non_monotone=True,20,0,heuristic,0.01,True,85.32000000000001,83.95,74.95,93.48,0.24685516745322186,0.2451607742761158,0.1938448374779909,0.31973468533397464,5.970858130559104,5.877024818651023,5.227622050898267,6.580220438403861,8.4932,8.475000000000001,7.3964,9.325,9.95,10.0,8.0,11.0,1.45,1.5,1.0,2.0,0.07142857142857142,0.07142857142857142,0.0,0.14285714285714285,4.975,5.0,4.0,5.5
0,planner_type=heuristic_learning_rate=0.01_allow_non_monotone=True,20,1,heuristic,0.01,True,89.95,89.35,72.21,105.53,0.43756998842143896,0.43655267589820357,0.3477970513036423,0.5289699569850908,6.20621500578928,6.18671292038122,4.954119047619048,7.327219938201934,9.1360744,9.2649,6.7095216,11.4182032,10.8,11.0,9.0,13.0,1.55,2.0,1.0,2.0,0.06785714285714285,0.07142857142857142,0.0,0.14285714285714285,5.4,5.5,4.5,6.5
0,planner_type=heuristic_learning_rate=0.01_allow_non_monotone=True,20,2,heuristic,0.01,True,112.4,116.4,82.12,147.43,0.5075526095648786,0.523291166115865,0.44041464076116194,0.5725708502024291,7.774795123788989,8.066970273372592,5.611452271984308,10.314638623075384,12.17690536325,12.049576000000002,7.867665736999999,16.571277600000002,11.7,12.0,10.0,13.0,1.75,2.0,1.0,2.0,0.09642857142857142,0.07142857142857142,0.06428571428571428,0.15,5.85,6.0,5.0,6.5
0,planner_type=heuristic_learning_rate=0.01_allow_non_monotone=True,20,3,heuristic,0.01,True,125.82724999999999,123.39250000000001,87.88,171.91,0.5242412966097836,0.5292312448138967,0.46171938389868417,0.5775897755019425,8.725540065980823,8.542567949404129,5.9886455864609305,12.053635427251628,14.97007052076487,13.071648686111113,8.710790630000002,21.68785740213523,11.25,11.0,9.9,13.1,0.65,1.0,0.0,1.1,0.15714285714285714,0.14285714285714285,0.07142857142857142,0.22142857142857142,5.625,5.5,4.95,6.55
0,planner_type=heuristic_learning_rate=0.01_allow_non_monotone=True,20,4,heuristic,0.01,True,134.9140625,123.7,91.27,195.55450000000002,0.5303767291480311,0.5240577301760853,0.44434313396844616,0.619235680512346,9.371530385425984,8.5711831730565,6.2390501622822425,13.668698351155896,17.734301049105213,14.601671809918207,8.4908023515,33.73832916480783,11.95,12.0,10.8,14.0,0.1,0.0,0.0,0.1,0.20357142857142857,0.21428571428571427,0.07142857142857142,0.2857142857142857,5.975,6.0,5.4,7.0
0,planner_type=heuristic_learning_rate=0.01_allow_non_monotone=True,20,5,heuristic,0.01,True,163.2994815,149.82999999999998,113.28,226.25466699999998,0.5291206890186887,0.5339602294383965,0.4547495340809791,0.5954060603420164,11.399688334062084,10.47623646167291,7.830898698444733,15.856324671426501,23.413747146198908,18.483882905797607,13.651000954972135,40.802184368549916,12.3,12.5,10.0,14.0,0.95,1.0,0.0,2.0,0.1357142857142857,0.14285714285714285,0.07142857142857142,0.21428571428571427,6.15,6.25,5.0,7.0
0,planner_type=heuristic_learning_rate=0.01_allow_non_monotone=True,20,6,heuristic,0.01,True,184.06139003125,186.22250000000003,114.26,287.94525,0.5309130059269244,0.5288834967959397,0.4351559106853464,0.623764897135387,12.881785642125823,13.008374321507482,7.833646613758881,20.301210839100047,29.755288491223048,24.36633297690912,14.95871590790946,56.710376989321624,12.5,13.0,10.9,14.0,0.8,1.0,0.0,2.0,0.14285714285714285,0.14285714285714285,0.06428571428571428,0.22142857142857142,6.25,6.5,5.45,7.0
0,planner_type=heuristic_learning_rate=0.01_allow_non_monotone=True,20,7,heuristic,0.01,True,185.9790050625,195.25,114.25,245.28,0.5252200598588951,0.5223349770248233,0.44282952316804225,0.616588429381462,13.021604617391981,13.69385055799064,7.8442643362704025,17.237591012881836,31.02104287351473,29.471689786444323,16.824894957007583,49.50358900653434,12.5,13.0,11.0,14.0,0.25,0.0,0.0,1.0,0.1392857142857143,0.14285714285714285,0.0,0.21428571428571427,6.25,6.5,5.5,7.0
0,planner_type=heuristic_learning_rate=0.01_allow_non_monotone=True,20,8,heuristic,0.01,True,208.6647241703125,215.9975,144.12,273.23217750000003,0.516235804876717,0.5023483853414988,0.45730664619580325,0.5824719450507052,14.646505252583962,15.125942642338174,10.055978641661724,19.27135194982137,36.369457509859586,36.49513784785002,20.07123471275353,54.03945894558927,12.75,13.0,10.9,14.0,0.85,1.0,0.0,2.0,0.08928571428571427,0.07142857142857142,0.0,0.14285714285714285,6.375,6.5,5.45,7.0
0,planner_type=heuristic_learning_rate=0.01_allow_non_monotone=True,20,9,heuristic,0.01,True,227.56100604039062,219.30510625,166.42322499999997,306.67,0.5287010338215941,0.5390974722900554,0.4334077216913213,0.6047199094143021,15.990007057402819,15.386793172400523,11.56829596095674,21.68674002193874,43.70098993159181,39.966270583329134,27.570085069839248,68.90695289815727,13.0,13.0,11.9,14.0,0.75,1.0,0.0,2.0,0.10357142857142856,0.07142857142857142,0.0,0.22142857142857142,6.5,6.5,5.95,7.0
