cell_index,cell_label,n_seeds,epoch,override_planner.planner_type,override_utility.labor_coeff,total_production_mean,total_production_median,total_production_p10,total_production_p90,gini_coefficient_mean,gini_coefficient_median,gini_coefficient_p10,gini_coefficient_p90,welfare_mean,welfare_median,welfare_p10,welfare_p90,total_tax_revenue_mean,total_tax_revenue_median,total_tax_revenue_p10,total_tax_revenue_p90,total_audits_mean,total_audits_median,total_audits_p10,total_audits_p90,total_catches_mean,total_catches_median,total_catches_p10,total_catches_p90,bunching_intensity_mean,bunching_intensity_median,bunching_intensity_p10,bunching_intensity_p90,enforcement_cost_mean,enforcement_cost_median,enforcement_cost_p10,enforcement_cost_p90
0,planner_type=heuristic_labor_coeff=0.15,100,0,heuristic,0.15,5.22,7.0,0.0,14.1,0.5010621118012423,0.8571428571428571,0.0,0.9285714285714286,0.12232608695652172,0.0357142857142857,0.0,0.5783333333333333,0.522,0.7000000000000001,0.0,1.41,12.23,12.0,11.0,14.0,0.0,0.0,0.0,0.0,0.9521428571428572,0.9285714285714286,0.8571428571428571,1.0,6.115,6.0,5.5,7.0
0,planner_type=heuristic_labor_coeff=0.15,100,1,heuristic,0.15,64.15,62.0,37.0,99.4,0.7294380200455732,0.7341066861527219,0.6100046059489467,0.861218045112782,4.21742384712007,4.085829493087558,2.2055984555984556,6.759626780986004,7.8689156145936625,7.477242857142858,4.374650000000001,13.304584000000002,13.5,14.0,13.0,14.0,0.66,1.0,0.0,1.0,0.7264285714285714,0.7142857142857143,0.5714285714285714,0.8571428571428571,6.75,7.0,6.5,7.0
0,planner_type=heuristic_labor_coeff=0.15,100,2,heuristic,0.15,110.11,107.25,74.9,159.6,0.6522125462860021,0.6554333039546291,0.5376938514869549,0.7609385327164573,7.538893726856999,7.334477126212628,4.949999999999999,11.128223350395443,15.63103188082364,14.47827890907034,9.14515817516251,23.679037277993057,13.84,14.0,13.0,14.0,1.02,1.0,0.0,2.0,0.605,0.6071428571428572,0.42857142857142855,0.7857142857142857,6.92,7.0,6.5,7.0
0,planner_type=heuristic_labor_coeff=0.15,100,3,heuristic,0.15,131.885,130.25,91.35,182.8,0.6149305159060487,0.6125300120048018,0.4998913633894622,0.713294457976087,9.11289188490412,9.011085310670728,6.187841530054645,12.781374346585366,19.299774538124396,18.239823418895632,11.936821388229685,28.75768251117941,13.94,14.0,14.0,14.0,1.34,1.0,0.0,2.0,0.5428571428571428,0.5714285714285714,0.42857142857142855,0.65,6.97,7.0,7.0,7.0
0,planner_type=heuristic_labor_coeff=0.15,100,4,heuristic,0.15,144.075,141.0,100.95,199.15,0.5903577422214925,0.5850755297759905,0.4782279754023868,0.7044754744002865,9.995892557460682,9.797872340425531,6.852350165720197,13.943163895716557,22.530634705536876,21.214937620006893,13.146378754900361,33.928950695101456,13.9,14.0,13.9,14.0,0.85,1.0,0.0,2.0,0.4971428571428571,0.5,0.35714285714285715,0.6428571428571429,6.95,7.0,6.95,7.0
0,planner_type=heuristic_labor_coeff=0.15,100,5,heuristic,0.15,153.605,150.0,111.9,211.95,0.5738447899848427,0.5700326033237686,0.46638851802403203,0.6861904761904762,10.684863319293292,10.404642857142857,7.6432329012686155,14.88084367612293,24.543219237668055,23.3337130500746,15.019372793004008,36.005109076590095,13.93,14.0,14.0,14.0,0.6,1.0,0.0,1.0,0.475,0.5,0.35714285714285715,0.5714285714285714,6.965,7.0,7.0,7.0
0,planner_type=heuristic_labor_coeff=0.15,100,6,heuristic,0.15,163.205,160.5,115.5,218.0,0.5626899062576817,0.5572649572649573,0.46074463779846214,0.6596462246168703,11.37615504687116,11.180574098798397,7.918274582560298,15.322264089121886,25.534257451210685,25.14210120972784,15.750448319228122,36.4619337141643,13.91,14.0,14.0,14.0,1.03,1.0,0.0,2.0,0.46,0.42857142857142855,0.35714285714285715,0.5714285714285714,6.955,7.0,7.0,7.0
0,planner_type=heuristic_labor_coeff=0.15,100,7,heuristic,0.15,167.68341021875,171.0,115.5,216.1,0.562359614810349,0.5569782939832445,0.4766392478330023,0.6545715445269016,11.696206636791254,11.955200501253131,7.92022263450835,15.190376984126983,27.72219091769666,26.434114511196118,16.175427362223314,37.95411269798177,13.95,14.0,14.0,14.0,0.6,1.0,0.0,1.0,0.4542857142857143,0.42857142857142855,0.35714285714285715,0.5714285714285714,6.975,7.0,7.0,7.0
0,planner_type=heuristic_labor_coeff=0.15,100,8,heuristic,0.15,167.035,171.0,115.4,217.0,0.557228239212146,0.5554702650290886,0.4763313901179486,0.6459212662337663,11.652457308965355,11.959899749373433,7.873708387682187,15.251701366030284,27.577586008840086,26.500359376099176,17.10552163403992,39.563268359761054,13.99,14.0,14.0,14.0,0.46,0.0,0.0,1.0,0.445,0.42857142857142855,0.35714285714285715,0.5714285714285714,6.995,7.0,7.0,7.0
0,planner_type=heuristic_labor_coeff=0.15,100,9,heuristic,0.15,169.075,172.0,115.5,217.1,0.557739475129644,0.5569782939832445,0.46662216288384506,0.6496123120300753,11.797915976720892,12.030805311773857,7.92022263450835,15.295149286408853,27.02234881110637,26.696736969529738,16.996769333175223,37.93755499100531,13.98,14.0,14.0,14.0,0.94,1.0,0.0,2.0,0.4421428571428571,0.42857142857142855,0.35714285714285715,0.5714285714285714,6.99,7.0,7.0,7.0
0,planner_type=heuristic_labor_coeff=0.15,100,10,heuristic,0.15,173.265,172.0,126.0,231.0,0.550270730486927,0.5438935325903411,0.4601662057311393,0.6430583501006036,12.100936063327966,12.001661129568108,8.694727891156463,16.271216852728553,28.958652870899428,28.22090390325102,17.418952807538357,40.52431368882619,13.99,14.0,14.0,14.0,0.58,1.0,0.0,1.0,0.43857142857142856,0.42857142857142855,0.35714285714285715,0.5714285714285714,6.995,7.0,7.0,7.0
0,planner_type=heuristic_labor_coeff=0.15,100,11,heuristic,0.15,176.635,173.0,126.0,217.0,0.5484248185063734,0.5394695743532952,0.46012474468695674,0.6380323539121823,12.342573305032527,12.09599504541701,8.70391156462585,15.239400921658985,29.982472161835798,28.33355065368208,18.17261302094666,40.88092203544077,13.99,14.0,14.0,14.0,0.43,0.0,0.0,1.0,0.4342857142857143,0.42857142857142855,0.35714285714285715,0.5714285714285714,6.995,7.0,7.0,7.0
0,planner_type=heuristic_labor_coeff=0.15,100,12,heuristic,0.15,176.36,175.0,125.7,231.0,0.5516934517639732,0.553000147427392,0.46631688478620964,0.6438549832026876,12.32129613126087,12.224614370029844,8.624840301974448,16.241419294990724,28.89473095722991,28.158641920872057,18.017813702246748,40.063333422278575,13.98,14.0,14.0,14.0,0.93,1.0,0.0,2.0,0.43142857142857144,0.42857142857142855,0.35714285714285715,0.5714285714285714,6.99,7.0,7.0,7.0
0,planner_type=heuristic_labor_coeff=0.15,100,13,heuristic,0.15,176.715,171.5,130.15,232.1,0.5496432192961458,0.5409069218404661,0.4593484464072178,0.6448514904281981,12.347678390351927,11.98155271900682,8.981383577052869,16.338205419247767,30.148476203847665,28.468579749461554,18.882187011201072,43.359361887105294,13.98,14.0,14.0,14.0,0.58,1.0,0.0,1.0,0.42928571428571427,0.42857142857142855,0.35714285714285715,0.5714285714285714,6.99,7.0,7.0,7.0
0,planner_type=heuristic_labor_coeff=0.15,100,14,heuristic,0.15,179.905,176.0,124.95,231.0,0.5477835465333587,0.5409128279977644,0.46516489906681807,0.6371569317382125,12.576465369590464,12.325431414666543,8.580310760667903,16.29522263450835,31.120628693530637,29.676437282555977,17.706439804912335,45.02549648899769,13.97,14.0,14.0,14.0,0.43,0.0,0.0,1.0,0.42857142857142855,0.42857142857142855,0.35714285714285715,0.5714285714285714,6.985,7.0,7.0,7.0
0,planner_type=heuristic_labor_coeff=0.15,100,15,heuristic,0.15,177.54,178.75,126.0,227.4,0.5491562309171126,0.5356380871102442,0.4650801579373008,0.6380323539121823,12.406850455970016,12.49496336996337,8.70391156462585,15.961053672570351,29.33327287125076,27.807031929444527,18.34505981899226,40.300125389626054,13.99,14.0,14.0,14.0,0.89,1.0,0.0,2.0,0.42714285714285716,0.42857142857142855,0.35714285714285715,0.5071428571428571,6.995,7.0,7.0,7.0
