cell_index,cell_label,n_seeds,override_planner.planner_type,override_utility.labor_coeff,total_production_mean,total_production_median,total_production_p10,total_production_p90,gini_coefficient_mean,gini_coefficient_median,gini_coefficient_p10,gini_coefficient_p90,welfare_mean,welfare_median,welfare_p10,welfare_p90,total_tax_revenue_mean,total_tax_revenue_median,total_tax_revenue_p10,total_tax_revenue_p90,total_audits_mean,total_audits_median,total_audits_p10,total_audits_p90,total_catches_mean,total_catches_median,total_catches_p10,total_catches_p90,bunching_intensity_mean,bunching_intensity_median,bunching_intensity_p10,bunching_intensity_p90,enforcement_cost_mean,enforcement_cost_median,enforcement_cost_p10,enforcement_cost_p90
0,planner_type=heuristic_labor_coeff=0.15,100,heuristic,0.15,185.735,180.75,140.8,243.0,0.5420406961030546,0.5357407001032193,0.4627093714012064,0.6323130661298916,12.995765366234187,12.663011048091693,9.707153243970174,17.089741328630218,33.50540300426796,31.538341942063397,20.631977818588638,46.23095133470783,13.99,14.0,14.0,14.0,0.44,0.0,0.0,1.0,0.41785714285714287,0.42857142857142855,0.35,0.5071428571428571,6.995,7.0,7.0,7.0
1,planner_type=heuristic_labor_coeff=0.3,100,heuristic,0.3,147.4,143.0,100.5,189.0,0.6078281615628738,0.6105442176870748,0.5243161094224924,0.6740962984384038,10.224657347789991,9.898351648351648,6.858208955223882,13.232122708851431,25.686544421323514,25.038648667892083,14.621538801488297,38.49362699458773,14.0,14.0,14.0,14.0,0.43,0.0,0.0,1.0,0.5078571428571429,0.5,0.42857142857142855,0.5714285714285714,7.0,7.0,7.0,7.0
2,planner_type=heuristic_labor_coeff=0.5,100,heuristic,0.5,91.0,93.5,52.0,123.2,0.7799749984039781,0.7784323064196725,0.7474482548701298,0.8123472489299671,6.110012500798011,6.272728944014119,3.3408653846153844,8.408225087108015,16.2151014886029,16.39269399374787,3.9860042791537995,28.80132735216335,13.99,14.0,14.0,14.0,0.4,0.0,0.0,1.0,0.7207142857142858,0.7142857142857143,0.7142857142857143,0.7142857142857143,6.995,7.0,7.0,7.0
3,planner_type=heuristic_labor_coeff=0.8,100,heuristic,0.8,91.0,93.5,52.0,123.2,0.7799749984039781,0.7784323064196725,0.7474482548701298,0.8123472489299671,6.110012500798011,6.272728944014119,3.3408653846153844,8.408225087108015,16.2151014886029,16.39269399374787,3.9860042791537995,28.80132735216335,13.99,14.0,14.0,14.0,0.4,0.0,0.0,1.0,0.7207142857142858,0.7142857142857143,0.7142857142857143,0.7142857142857143,6.995,7.0,7.0,7.0
4,planner_type=bandit_labor_coeff=0.15,100,bandit,0.15,185.985,186.0,140.8,243.0,0.5425612114748273,0.5357407001032193,0.4627093714012064,0.6323130661298916,13.013362251405443,13.028801843317973,9.707153243970174,17.089741328630218,33.106053927356044,31.916798566308557,20.64539787293768,47.33522373381967,13.99,14.0,14.0,14.0,0.44,0.0,0.0,1.0,0.41785714285714287,0.42857142857142855,0.35,0.5071428571428571,6.995,7.0,7.0,7.0
5,planner_type=bandit_labor_coeff=0.3,100,bandit,0.3,146.82,143.0,100.5,188.0,0.6086956633210621,0.6105442176870748,0.5243161094224924,0.681825380380084,10.182795025482326,9.898351648351648,6.858208955223882,13.135106382978723,25.061928604036325,24.219854700523058,14.712408313845298,36.70315987471501,14.0,14.0,14.0,14.0,0.43,0.0,0.0,1.0,0.5085714285714286,0.5,0.42857142857142855,0.5714285714285714,7.0,7.0,7.0,7.0
6,planner_type=bandit_labor_coeff=0.5,100,bandit,0.5,91.0,93.5,52.0,123.2,0.7799749984039781,0.7784323064196725,0.7474482548701298,0.8123472489299671,6.110012500798011,6.272728944014119,3.3408653846153844,8.408225087108015,16.418236678464684,16.242626176836563,7.425253947207406,26.88612026426867,13.99,14.0,14.0,14.0,0.4,0.0,0.0,1.0,0.7207142857142858,0.7142857142857143,0.7142857142857143,0.7142857142857143,6.995,7.0,7.0,7.0
7,planner_type=bandit_labor_coeff=0.8,100,bandit,0.8,91.0,93.5,52.0,123.2,0.7799749984039781,0.7784323064196725,0.7474482548701298,0.8123472489299671,6.110012500798011,6.272728944014119,3.3408653846153844,8.408225087108015,16.418236678464684,16.242626176836563,7.425253947207406,26.88612026426867,13.99,14.0,14.0,14.0,0.4,0.0,0.0,1.0,0.7207142857142858,0.7142857142857143,0.7142857142857143,0.7142857142857143,6.995,7.0,7.0,7.0
8,planner_type=saez_labor_coeff=0.15,100,saez,0.15,185.975,186.0,140.8,242.1,0.5414850238934203,0.5357407001032193,0.4627093714012064,0.6323130661298916,13.01318605948186,13.028801843317973,9.707153243970174,17.017716851050185,53.65834510862745,52.60400756496112,33.998839193265155,73.30488289340457,13.99,14.0,14.0,14.0,0.44,0.0,0.0,1.0,0.41714285714285715,0.42857142857142855,0.2857142857142857,0.5071428571428571,6.995,7.0,7.0,7.0
9,planner_type=saez_labor_coeff=0.3,100,saez,0.3,138.45,134.25,96.9,183.0,0.6096928457804348,0.608984144839038,0.5187074829931972,0.6934129008746355,9.584439291395498,9.250623471058653,6.601823683726069,12.753512880562061,40.05085279862802,38.04510618475944,20.407775316890234,66.81926752274974,14.0,14.0,14.0,14.0,0.43,0.0,0.0,1.0,0.5121428571428571,0.5,0.42857142857142855,0.5785714285714285,7.0,7.0,7.0,7.0
10,planner_type=saez_labor_coeff=0.5,100,saez,0.5,91.0,93.5,52.0,123.2,0.7799749984039781,0.7784323064196725,0.7474482548701298,0.8123472489299671,6.110012500798011,6.272728944014119,3.3408653846153844,8.408225087108015,32.414587886183206,29.603254869533178,14.806732880293389,59.165270911113815,13.99,14.0,14.0,14.0,0.4,0.0,0.0,1.0,0.7207142857142858,0.7142857142857143,0.7142857142857143,0.7142857142857143,6.995,7.0,7.0,7.0
