cell_index,cell_label,n_seeds,override_misreporting.audit_probability,override_misreporting.risk_based_audit_multiplier,total_production_mean,total_production_median,total_production_p10,total_production_p90,gini_coefficient_mean,gini_coefficient_median,gini_coefficient_p10,gini_coefficient_p90,welfare_mean,welfare_median,welfare_p10,welfare_p90,total_tax_revenue_mean,total_tax_revenue_median,total_tax_revenue_p10,total_tax_revenue_p90,total_audits_mean,total_audits_median,total_audits_p10,total_audits_p90,total_catches_mean,total_catches_median,total_catches_p10,total_catches_p90,bunching_intensity_mean,bunching_intensity_median,bunching_intensity_p10,bunching_intensity_p90,enforcement_cost_mean,enforcement_cost_median,enforcement_cost_p10,enforcement_cost_p90
0,audit_probability=0.0_risk_based_audit_multiplier=0.0,50,0.0,0.0,1011.6514752991623,990.0,710.29,1318.9505039958115,0.5058065198899099,0.5038843657989986,0.41492721371107116,0.5930077388550168,72.00791640428092,70.47404908658643,50.417738219637194,93.99979019126718,447.65283611607657,442.1282992267895,279.8153085340504,587.1428771074868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012857142857142857,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0
1,audit_probability=0.025_risk_based_audit_multiplier=0.0,50,0.025,0.0,996.6928660491623,986.3,710.29,1282.572,0.5113758719349861,0.515103750834531,0.4202319277133387,0.5997073660443185,70.93665963897267,70.22331357621925,50.417738219637194,91.4029536121402,447.85487698436015,441.8736143324292,302.55568723113277,601.6142459656105,2.08,2.0,0.0,3.1,0.18,0.0,0.0,1.0,0.012857142857142857,0.0,0.0,0.07142857142857142,1.04,1.0,0.0,1.55
2,audit_probability=0.05_risk_based_audit_multiplier=0.0,50,0.05,0.0,969.6354955491623,970.92064375,689.52,1301.8065,0.5185539893965709,0.5212794314603616,0.4288126230648109,0.6093474775219655,69.00040125881331,69.09520923874128,48.948992616347915,92.73988979029687,448.3654889574863,439.5455023301382,295.25121947384116,578.1261666393432,3.68,4.0,1.0,6.0,0.32,0.0,0.0,1.0,0.012857142857142857,0.0,0.0,0.07142857142857142,1.84,2.0,0.5,3.0
3,audit_probability=0.1_risk_based_audit_multiplier=0.0,50,0.1,0.0,960.5584024866623,952.47064375,670.13,1227.025625,0.5234904424210534,0.5288284260427591,0.4129719681651371,0.6140623676188015,68.3495692421225,67.77121753499952,47.565906872106424,87.41238824180941,455.5493020610543,463.8132285777734,279.6006456850344,600.452741848225,7.04,7.0,5.0,9.1,0.46,0.0,0.0,1.0,0.01714285714285714,0.0,0.0,0.07142857142857142,3.52,3.5,2.5,4.55
4,audit_probability=0.15_risk_based_audit_multiplier=0.0,50,0.15,0.0,895.7696874866623,906.2375,650.19,1129.2709521875001,0.5348409959870665,0.5434323950052264,0.4273123810754978,0.6198892389734884,63.716128608196634,64.44634112042452,46.180200603103195,80.40769931709279,417.8941990681641,419.8647249154074,269.6822183672546,555.8424149169796,10.6,11.0,8.0,12.0,0.62,0.5,0.0,2.0,0.02142857142857143,0.0,0.0,0.07142857142857142,5.3,5.5,4.0,6.0
5,audit_probability=0.2_risk_based_audit_multiplier=0.0,50,0.2,0.0,877.5313264866624,916.5,600.62868125,1115.7104446874998,0.543160937020468,0.5468750157283644,0.4445397450486754,0.6269477599562296,62.40922856625136,65.19679694441095,42.598828267599494,79.47157033874677,401.1261046580481,412.74205889584056,259.6413542874349,538.257884851218,13.98,14.0,14.0,14.0,1.16,1.0,0.0,2.0,0.018571428571428572,0.0,0.0,0.07142857142857142,6.99,7.0,7.0,7.0
6,audit_probability=0.3_risk_based_audit_multiplier=0.0,50,0.3,0.0,896.4171884333965,912.87064375,638.76,1136.5083719375002,0.5410415184562457,0.5454169101543435,0.44749267827864164,0.6299004100378096,63.759278414585914,64.93698174195404,45.30312215095884,80.94029834974708,408.66536797324756,422.71580625105764,273.53954450674,550.6028720647868,14.0,14.0,14.0,14.0,1.36,1.0,0.9,2.0,0.018571428571428572,0.0,0.0,0.07142857142857142,7.0,7.0,7.0,7.0
7,audit_probability=0.5_risk_based_audit_multiplier=0.0,50,0.5,0.0,898.9793639333965,914.420625,638.76,1130.9452469375,0.5393953946847037,0.543651222869679,0.44749267827864164,0.6299004100378096,63.94311401218597,65.0443867983129,45.30312215095884,80.52617951662317,407.35722856157497,422.71580625105764,268.7386489878861,550.6028720647868,14.0,14.0,14.0,14.0,1.58,2.0,1.0,2.0,0.02,0.0,0.0,0.07142857142857142,7.0,7.0,7.0,7.0
8,audit_probability=0.65_risk_based_audit_multiplier=0.0,50,0.65,0.0,891.1246876833965,901.71840625,601.131525,1130.9452469375,0.5409244321117871,0.543651222869679,0.44749267827864164,0.6299004100378096,63.381301189901,64.11682464906585,42.62940247183496,80.52617951662317,402.3276636789101,417.1612854993742,266.60094044880276,550.6028720647868,14.0,14.0,14.0,14.0,1.6,2.0,1.0,2.0,0.02,0.0,0.0,0.07142857142857142,7.0,7.0,7.0,7.0
9,audit_probability=0.8_risk_based_audit_multiplier=0.0,50,0.8,0.0,890.0966876833965,901.71840625,601.131525,1130.9452469375,0.5413600146917088,0.543651222869679,0.44749267827864164,0.6299004100378096,63.30765482718247,64.11682464906585,42.62940247183496,80.52617951662317,401.5388710250826,414.68894723026006,266.60094044880276,550.6028720647868,14.0,14.0,14.0,14.0,1.62,2.0,1.0,2.0,0.02,0.0,0.0,0.07142857142857142,7.0,7.0,7.0,7.0
10,audit_probability=0.95_risk_based_audit_multiplier=0.0,50,0.95,0.0,892.8506876833965,905.2375,601.131525,1130.9452469375,0.5407585655828742,0.543651222869679,0.44749267827864164,0.6299004100378096,63.50466983745117,64.38162063726217,42.62940247183496,80.52617951662317,402.5580279521367,414.68894723026006,266.60094044880276,550.6028720647868,14.0,14.0,14.0,14.0,1.64,2.0,1.0,2.0,0.02,0.0,0.0,0.07142857142857142,7.0,7.0,7.0,7.0
