cell_index,cell_label,n_seeds,epoch,total_production_mean,total_production_median,total_production_p10,total_production_p90,gini_coefficient_mean,gini_coefficient_median,gini_coefficient_p10,gini_coefficient_p90,welfare_mean,welfare_median,welfare_p10,welfare_p90,total_tax_revenue_mean,total_tax_revenue_median,total_tax_revenue_p10,total_tax_revenue_p90,total_audits_mean,total_audits_median,total_audits_p10,total_audits_p90,total_catches_mean,total_catches_median,total_catches_p10,total_catches_p90,bunching_intensity_mean,bunching_intensity_median,bunching_intensity_p10,bunching_intensity_p90,enforcement_cost_mean,enforcement_cost_median,enforcement_cost_p10,enforcement_cost_p90
0,baseline,20,0,85.32000000000001,83.95,74.95,93.48,0.34099827152156914,0.33951567749160133,0.29461423279324195,0.40476784966722784,5.162000864239215,5.079896716319645,4.511669294535983,5.695192883603379,8.4932,8.475000000000001,7.3964,9.325,10.45,10.5,9.0,13.0,1.45,1.5,1.0,2.0,0.1875,0.1875,0.125,0.25,5.225,5.25,4.5,6.5
0,baseline,20,1,89.95,89.35,72.21,105.53,0.5078737398687592,0.5069835914109282,0.429322419890687,0.5878487123619545,5.36793813006562,5.350873805333567,4.272354166666666,6.348817445926694,9.1360744,9.2649,6.7095216,11.4182032,11.55,12.0,8.9,14.0,1.3,1.0,0.0,2.0,0.184375,0.1875,0.125,0.25,5.775,6.0,4.45,7.0
0,baseline,20,2,113.27,116.4,82.12,151.18,0.5713244588553622,0.5828797703513819,0.5160867473155545,0.6259994939271255,6.793712770572319,6.996098989201018,4.84752073798627,9.175924281841,12.46702276128125,12.049576000000002,7.874522619875,17.508213599999998,12.2,12.0,9.9,15.0,1.5,2.0,1.0,2.0,0.209375,0.1875,0.18125,0.25625,6.1,6.0,4.95,7.5
0,baseline,20,3,129.758,127.85,87.88,177.33,0.5863952346059823,0.5875125047463271,0.5329991200104903,0.6395303337324614,7.816677382697009,7.706397547713263,5.177564888153316,10.811997285798926,16.029532358415604,13.414892873495372,8.56742270125,24.971432166234376,12.6,12.5,10.9,15.0,0.55,0.5,0.0,1.0,0.2625,0.25,0.1875,0.375,6.3,6.25,5.45,7.5
0,baseline,20,4,143.98,141.6,87.85,216.11,0.5924269006515144,0.5797903550982368,0.5276398658932905,0.6646481665583147,8.702536549674242,8.557370002795638,5.214711420871094,13.180220376514036,19.293490720890773,16.222626418125,8.35680176919942,32.93075231325625,13.95,14.0,12.8,16.0,0.4,0.0,0.0,1.0,0.2875,0.25,0.1875,0.38125,6.975,7.0,6.4,8.0
0,baseline,20,5,174.38,165.10000000000002,123.24,245.14,0.5912685425090595,0.5958258559859653,0.5262742774162641,0.6526351666552153,10.60311572874547,10.050809575425806,7.406383070662886,15.037354546664892,25.296636567161954,21.385581541823285,13.949513953100618,42.54062418817477,14.0,14.0,11.9,16.0,1.15,1.0,0.0,2.0,0.23125,0.25,0.18125,0.25625,7.0,7.0,5.95,8.0
0,baseline,20,6,188.285,180.45,117.79,282.81,0.5909927990337188,0.584926636343687,0.5171383960047004,0.6564699642824643,11.472316100483141,10.955822663532725,7.011445153131412,17.397923163766695,30.012789188851038,24.867143344010927,15.38859279506052,53.6916453397857,14.4,14.5,13.0,16.0,0.5,0.0,0.0,1.0,0.234375,0.21875,0.125,0.31875,7.2,7.25,6.5,8.0
0,baseline,20,7,198.84,202.39999999999998,122.68,284.78,0.5886740402166861,0.5800226400429,0.5196458382907928,0.676129354945587,12.133162979891656,12.351835931353433,7.318596985363394,17.513080765254372,33.127235320530595,29.20160702401156,18.628016617011458,59.15609739617583,14.6,15.0,13.0,16.0,0.4,0.0,0.0,1.1,0.228125,0.25,0.125,0.3125,7.3,7.5,6.5,8.0
0,baseline,20,8,222.445,219.75,153.42999999999998,324.74,0.5827942171215664,0.5745644871148903,0.5372601143743295,0.6318796303134023,13.611415391439216,13.433712401064051,9.311671523214276,20.018065095324726,39.10465742486492,30.62183579684106,22.63631874688074,69.18873123267153,14.8,15.0,14.0,16.0,1.15,1.0,0.0,2.0,0.190625,0.1875,0.125,0.25,7.4,7.5,7.0,8.0
0,baseline,20,9,234.35,216.8,157.92,333.64,0.5865090019779647,0.5830686082596104,0.5337464953611031,0.6354097803769249,14.353620499011017,13.237665911647287,9.558654435003227,20.57635346540366,44.862539975015025,35.43658387243079,24.147973944108625,77.22781852317418,14.8,15.0,13.9,16.0,0.3,0.0,0.0,1.0,0.2125,0.1875,0.125,0.3125,7.4,7.5,6.95,8.0
0,baseline,20,10,244.03,242.29999999999995,159.32,341.17,0.5912055604472287,0.5781626290523971,0.5345927637635274,0.6609839689906937,14.956272219776386,14.845076250016136,9.61508790204939,21.055828618118234,47.9556870714607,37.98684190798059,28.32648627814683,80.02477680592007,15.1,15.0,14.0,16.0,0.4,0.0,0.0,1.1,0.215625,0.21875,0.125,0.25625,7.55,7.5,7.0,8.0
0,baseline,20,11,263.74,249.45,173.2,369.93,0.5949773842878133,0.5812700757386424,0.5260201969908023,0.6588561207302758,16.186261307856093,15.303640263731412,10.502217287729813,22.83736670071976,54.19330386705085,40.44567942127725,30.318746077561126,91.30455608073436,15.45,16.0,14.9,16.0,1.25,1.0,0.0,2.0,0.225,0.21875,0.18125,0.3125,7.725,8.0,7.45,8.0
0,baseline,20,12,275.145,269.95,188.98,372.9699999999999,0.6023582022280235,0.5976658875709697,0.5370682021159925,0.6693003046777855,16.895383398885986,16.558167800875573,11.477389183394347,23.027518842370977,62.03039392531855,55.794072379403524,36.679392922704785,98.54844801640627,15.2,15.0,14.9,16.0,0.2,0.0,0.0,1.0,0.2375,0.25,0.1875,0.3125,7.6,7.5,7.45,8.0
0,baseline,20,13,277.96,277.79999999999995,192.84999999999997,380.73,0.5984000630905267,0.6018474822155804,0.5349351960079122,0.6526239964280349,17.073299968454737,17.0631443921108,11.715039508425193,23.51904516067803,63.231117996140846,55.09915929368969,38.85888121588446,105.29748362477412,15.55,16.0,15.0,16.0,0.45,0.0,0.0,1.1,0.221875,0.25,0.125,0.3125,7.775,8.0,7.5,8.0
0,baseline,20,14,302.005,291.25,202.45,423.83,0.6030930291884793,0.6115813890730889,0.5406989686381626,0.6606328228808732,18.57376598540576,17.890534639020395,12.321922217519711,26.219594787295627,70.99565451640231,62.07454506705247,42.65196888397034,104.76611947501168,15.35,16.0,14.0,16.0,1.15,1.0,0.0,2.0,0.2125,0.1875,0.125,0.3125,7.675,8.0,7.0,8.0
0,baseline,20,15,312.375,328.45,209.48,436.58,0.6045727122417606,0.6191215917261214,0.537720240971612,0.6631281308110935,19.22115114387912,20.214513731948287,12.77732046433109,27.011611004064715,80.10743978313309,77.59224957193135,47.13803393956644,122.44004763752213,15.4,15.5,14.9,16.0,0.25,0.0,0.0,1.0,0.225,0.25,0.125,0.3125,7.7,7.75,7.45,8.0
0,baseline,20,16,326.805,333.95,221.1,454.7,0.6097803287473689,0.6210780444846276,0.5362536391220565,0.6660073075420087,20.120422335626316,20.561698182504642,13.487067741935482,28.150796646950266,85.7356196754902,86.35756951073796,52.11366931981723,126.59172554623437,15.5,16.0,15.0,16.0,0.4,0.0,0.0,1.1,0.20625,0.1875,0.125,0.3125,7.75,8.0,7.5,8.0
0,baseline,20,17,342.77,347.2,238.09,483.13,0.6066833864274607,0.6210072130302156,0.5419087485607468,0.6630675597025467,21.11978330678627,21.385322291594548,14.558193613366573,29.924685598816993,91.20553342334512,82.72306447123454,54.63797580998748,133.45254471956625,15.55,16.0,15.0,16.0,1.25,1.0,0.0,2.0,0.20625,0.1875,0.125,0.25625,7.775,8.0,7.5,8.0
0,baseline,20,18,353.185,354.45,240.76,488.88,0.6126179789569188,0.6157509296512617,0.5506655163454592,0.6740433716289306,21.76775351052154,21.83957190433021,14.737179683590274,30.278503001409735,101.81021741124505,99.55269582403982,60.91274953403863,146.38745361589898,15.55,16.0,14.9,16.0,0.25,0.0,0.0,1.0,0.23125,0.25,0.125,0.375,7.775,8.0,7.45,8.0
