epoch,total_production_mean,total_production_std,total_production_ci95,total_production_min,total_production_max,mean_production_mean,mean_production_std,mean_production_ci95,mean_production_min,mean_production_max,total_houses_built_mean,total_houses_built_std,total_houses_built_ci95,total_houses_built_min,total_houses_built_max,total_tax_revenue_mean,total_tax_revenue_std,total_tax_revenue_ci95,total_tax_revenue_min,total_tax_revenue_max,mean_effective_tax_rate_mean,mean_effective_tax_rate_std,mean_effective_tax_rate_ci95,mean_effective_tax_rate_min,mean_effective_tax_rate_max,total_tax_shortfall_mean,total_tax_shortfall_std,total_tax_shortfall_ci95,total_tax_shortfall_min,total_tax_shortfall_max,total_redistributed_mean,total_redistributed_std,total_redistributed_ci95,total_redistributed_min,total_redistributed_max,gini_coefficient_mean,gini_coefficient_std,gini_coefficient_ci95,gini_coefficient_min,gini_coefficient_max,atkinson_index_mean,atkinson_index_std,atkinson_index_ci95,atkinson_index_min,atkinson_index_max,welfare_mean,welfare_std,welfare_ci95,welfare_min,welfare_max,total_audits_mean,total_audits_std,total_audits_ci95,total_audits_min,total_audits_max,total_catches_mean,total_catches_std,total_catches_ci95,total_catches_min,total_catches_max,total_fines_mean,total_fines_std,total_fines_ci95,total_fines_min,total_fines_max,undetected_evasion_rate_mean,undetected_evasion_rate_std,undetected_evasion_rate_ci95,undetected_evasion_rate_min,undetected_evasion_rate_max,enforcement_cost_mean,enforcement_cost_std,enforcement_cost_ci95,enforcement_cost_min,enforcement_cost_max,bunching_intensity_mean,bunching_intensity_std,bunching_intensity_ci95,bunching_intensity_min,bunching_intensity_max,collusion_events_detected_mean,collusion_events_detected_std,collusion_events_detected_ci95,collusion_events_detected_min,collusion_events_detected_max,collusion_suspicion_mean_mean,collusion_suspicion_mean_std,collusion_suspicion_mean_ci95,collusion_suspicion_mean_min,collusion_suspicion_mean_max,exploit_frequency_mean,exploit_frequency_std,exploit_frequency_ci95,exploit_frequency_min,exploit_frequency_max,governance_backfire_events_mean,governance_backfire_events_std,governance_backfire_events_ci95,governance_backfire_events_min,governance_backfire_events_max,variance_amplification_mean,variance_amplification_std,variance_amplification_ci95,variance_amplification_min,variance_amplification_max,income_coin_gap_mean,income_coin_gap_std,income_coin_gap_ci95,income_coin_gap_min,income_coin_gap_max,coin_conserved_mean,coin_conserved_std,coin_conserved_ci95,coin_conserved_min,coin_conserved_max
0,5.266666666666667,5.157087894883657,1.8454402024288783,0.0,16.0,0.37619047619047613,0.3683634210631184,0.13181715731634847,0.0,1.1428571428571428,0.7,0.6904105059069326,0.24706022657553672,0.0,2.0,0.5266666666666667,0.5157087894883657,0.18454402024288785,0.0,1.6,0.005000000000000001,0.004931503613620949,0.0017647159041109773,0.0,0.014285714285714287,0.0,0.0,0.0,0.0,0.0,0.5266666666666667,0.5157087894883658,0.18454402024288788,0.0,1.6000000000000003,0.5168253968253969,0.45250747325706075,0.16192771968780448,0.0,0.9285714285714286,0.516660062019622,0.45238078961101186,0.16188238652727394,0.0,0.9285506635741375,0.11777777777777776,0.20457608154877088,0.07320661059898176,0.0,0.7142857142857142,12.1,1.3000000000000003,0.4651990255077212,9.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.05,0.6500000000000001,0.2325995127538606,4.5,7.0,0.9499999999999998,0.04931503613620948,0.01764715904110977,0.8571428571428571,1.0,44.43333333333333,8.52323621376033,3.0500009083180184,34.0,61.0,0.8130799169993538,0.012767867400304047,0.004568922671102494,0.7904761904761909,0.8439999999999999,0.15027144557422323,0.024670825530392113,0.008828341534776473,0.11643835616438356,0.19322033898305085,12.1,1.3000000000000003,0.4651990255077212,9.0,14.0,1.8892155956744634,1.6927004470463025,0.6057250757249414,0.0,3.605551275463989,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
1,65.16666666666667,21.009653865676977,7.518208080436503,33.0,111.0,4.654761904761904,1.5006895618340699,0.5370148628883218,2.357142857142857,7.928571428571429,5.333333333333333,1.577621275493231,0.564544523061307,3.0,9.0,7.559744,2.819681271323173,1.009009984355317,3.8477599999999996,13.6912,0.036080835823941414,0.010155572268263727,0.00363412486359194,0.016722981366459628,0.057998901098901094,0.0,0.0,0.0,0.0,0.0,8.422544,3.0820397224799034,1.1028937503644138,4.2304,15.287279999999994,0.7262743385114446,0.08271563752732412,0.02959941074766236,0.561038961038961,0.8949579831932772,0.6879412778949215,0.08928090531539783,0.031948761653207834,0.5078743923917957,0.8679612881161985,4.291624735506182,1.533267867047145,0.5486728596866414,1.9145021645021645,7.61036036036036,13.333333333333334,0.7453559924999297,0.26672221643639044,12.0,14.0,0.9,0.7000000000000001,0.25049178296569596,0.0,2.0,0.8628000000000001,0.8387989134947663,0.30016033627284655,0.0,3.0918400000000004,0.015384615384615382,0.08284868934053077,0.029647022727543715,0.0,0.46153846153846145,6.666666666666667,0.37267799624996484,0.13336110821819522,6.0,7.0,0.719047619047619,0.09920317455237934,0.03549940009926094,0.5,0.9285714285714286,35.9,7.096243137510627,2.539357994104459,24.0,55.0,0.7663063379402968,0.010967135351342165,0.003924538983119733,0.7507894736842105,0.7903703703703705,0.10414421887542842,0.018459031357789573,0.006605479538046288,0.06648936170212766,0.15895953757225434,12.433333333333334,1.174260996920569,0.4202039011224413,10.0,14.0,1.6390834368759353,0.43833847899810785,0.15685741020958188,1.0733434285923957,2.8216905776968138,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
2,128.58333333333334,32.09337505190475,11.48446676876915,69.0,202.0,9.184523809523814,2.2923839322789106,0.8203190549120822,4.928571428571429,14.428571428571429,9.633333333333333,2.5361826082169685,0.9075612906555108,5.0,15.0,17.182581333333328,5.538298115291215,1.9818545278497859,8.284479999999999,29.7768,0.05489197465069419,0.012402691203600335,0.004438246047375431,0.029723809523809524,0.08481195683238872,0.0,0.0,0.0,0.0,0.0,19.831088000000012,5.983245754876084,2.1410769958012024,10.004400000000002,32.97360000000001,0.6489582144583027,0.07271399406778616,0.02602036860085256,0.5014144271570014,0.8167701863354038,0.5815876573160106,0.09132152369678126,0.032678987562786845,0.3847642646513093,0.7898040542960179,8.860044702294656,2.3229043809310905,0.8312406571975072,4.520186335403727,14.177864214992928,13.733333333333333,0.4422166387140533,0.15824519184082889,13.0,14.0,1.1333333333333333,0.7180219742846005,0.2569408636387124,0.0,2.0,2.648506666666669,2.035525385763807,0.7284034045027316,0.0,7.767360000000008,0.05,0.15446858650770087,0.05527587378072119,0.0,0.642857142857143,6.866666666666666,0.22110831935702666,0.07912259592041444,6.5,7.0,0.5928571428571429,0.10457233931427501,0.03742073103389498,0.35714285714285715,0.8571428571428571,32.5,6.711929677819934,2.401833188767835,20.0,43.0,0.7743715977967516,0.01337610150366574,0.004786576449690512,0.7525096525096526,0.8054285714285715,0.08414953622000351,0.018884021485149217,0.006757560301967911,0.05466970387243736,0.11538461538461539,12.6,0.8406346808612327,0.30081725718818425,11.0,14.0,1.3011485754623182,0.24213578674373779,0.08664717848748629,0.9290062658011803,2.000472533969972,-1.75,5.269013190342192,1.8854921550265509,-18.5,0.0,1.0,0.0,0.0,1.0,1.0
3,172.61666666666667,42.945058569706895,15.367691843845888,101.5,277.0,12.3297619047619,3.0675041835504917,1.0976922745604203,7.25,19.785714285714285,13.1,3.176476034853718,1.1366873507404458,8.0,22.0,25.728916616666663,9.909684691861683,3.546135124417566,8.643199999999997,49.10792,0.06433910327594813,0.014223619293425253,0.005089856795764806,0.040613309671694756,0.09430358712367795,0.0,0.0,0.0,0.0,0.0,30.316750466666676,10.688700763546267,3.8249024454964293,14.193040000000005,59.27768000000003,0.6258473583318402,0.055764987438988695,0.01995524447235988,0.5195741758241758,0.7323727774371551,0.5367520724417217,0.07562974316359443,0.02706375601469489,0.39348199712502807,0.6622011358590625,12.016838225595986,3.0838817477099423,1.1035529106274715,6.9317382125263896,19.500515729757605,13.9,0.3,0.10735362127101256,13.0,14.0,1.5666666666666667,0.5587684871413402,0.19995273515582693,0.0,2.0,4.587833850000005,2.6690340863101336,0.9551015815372037,0.0,10.169760000000014,0.0,0.0,0.0,0.0,0.0,6.95,0.15,0.05367681063550628,6.5,7.0,0.5238095238095238,0.0789672569132238,0.028258069971576587,0.35714285714285715,0.6428571428571429,29.8,6.680319353643706,2.3905215795349393,16.0,40.0,0.7894472200239704,0.019631057600857652,0.007024883742773015,0.75969111969112,0.8527891156462585,0.0812646465371126,0.01864275810551183,0.006671225310354055,0.03643724696356275,0.11707317073170732,12.333333333333334,0.5962847939999438,0.21337777314911235,11.0,14.0,1.2191114889474879,0.15858113572642646,0.05674753061833941,0.9385595590360731,1.5510365197874245,-11.05,11.977304927792952,4.28602352355239,-37.0,0.0,1.0,0.0,0.0,1.0,1.0
4,219.98333333333332,56.21854429120539,20.117547707485695,130.5,364.5,15.713095238095235,4.01561030651467,1.4369676933918352,9.321428571428571,26.035714285714285,16.1,3.83275357934736,1.3715332539412477,9.0,26.0,37.59435849442373,15.198905852386545,5.4388586087029385,17.717261250000004,72.1505175,0.07729961359329643,0.018918012723160807,0.006769723910274674,0.051321230356944636,0.12613186494119555,0.0,0.0,0.0,0.0,0.0,40.82593974376731,15.593516689025652,5.580068283056245,17.71726125,75.253139,0.6018957132202997,0.06587496778839552,0.023573054477318545,0.44434646286498136,0.7225031605562579,0.5054795433803612,0.08317213568481273,0.02976276651536218,0.31478953600165815,0.6586698009408161,15.41214738148509,4.036116106838896,1.444305599798055,9.000547345374931,25.813541054281792,13.866666666666667,0.33993463423951886,0.12164404660349828,13.0,14.0,0.8,0.7023769168568491,0.2513423517391722,0.0,2.0,3.231581249343574,4.026786588381275,1.4409670744942538,0.0,15.333883500000002,0.06666666666666667,0.2494438257849295,0.08926232667235919,0.0,1.0,6.933333333333334,0.16996731711975943,0.06082202330174914,6.5,7.0,0.4928571428571429,0.09285714285714285,0.03322850182198007,0.2857142857142857,0.7142857142857143,32.86666666666667,8.417178202277109,3.0120485363262635,14.0,49.0,0.7882822514915464,0.016638803371395835,0.005954119318452251,0.7617972350230415,0.8383673469387759,0.0873421763695351,0.017873116115746195,0.006395812461408827,0.050359712230215826,0.12555066079295155,13.066666666666666,0.6798692684790382,0.24328809320699674,12.0,14.0,1.1548344946447684,0.16871408483588746,0.06037355988852448,0.7989864986326857,1.4986557209673204,-12.816666666666666,11.348629383713652,4.0610548693476,-36.0,0.0,1.0,0.0,0.0,1.0,1.0
5,255.71666666666667,64.84631618081494,23.204956226985136,131.5,416.0,18.26547619047619,4.631879727201069,1.6574968733560815,9.392857142857142,29.714285714285715,18.233333333333334,4.529042086603107,1.6206968962855548,9.0,30.0,48.6420635442355,19.872611244687786,7.11132260409426,18.501309562500005,100.79638296562499,0.08743433862651256,0.02112462513443032,0.007559350020579151,0.05492560613989186,0.13719058789579966,0.0,0.0,0.0,0.0,0.0,51.28999486771252,19.695198318398052,7.047836203769293,18.501309562500005,100.79638296562497,0.593481544818001,0.06158456999193604,0.02203775534350822,0.4852335164835164,0.7323809523809524,0.489920226520079,0.07893610881120235,0.02824692376641751,0.3350154996922373,0.6626813827608484,17.96873541806719,4.648401968674537,1.6634092815350512,9.071428571428571,29.471668956043956,13.933333333333334,0.2494438257849294,0.08926232667235916,13.0,14.0,0.6,0.6110100926607787,0.21864715360090506,0.0,2.0,2.6479313234770245,3.981148154938713,1.42463557083027,0.0,18.283019749999987,0.03333333333333333,0.17950549357115012,0.0642352159096781,0.0,1.0,6.966666666666667,0.1247219128924647,0.04463116333617958,6.5,7.0,0.4666666666666668,0.08192690730516787,0.029317167262481143,0.2857142857142857,0.6428571428571429,34.2,9.498771850437649,3.3990918525721283,17.0,54.0,0.7887758507836558,0.012081660532835502,0.0043233666972232075,0.7694196428571429,0.8128979591836738,0.08977252736810691,0.021909299102705445,0.007840141993950585,0.05226480836236934,0.13272311212814644,13.333333333333334,0.5962847939999438,0.21337777314911235,12.0,14.0,1.129321508196163,0.15997428471042863,0.05724606257968163,0.8733044381211008,1.5451141633477374,-9.716666666666667,11.561922658258684,4.137380887398138,-45.0,7.5,1.0,0.0,0.0,1.0,1.0
6,294.0833333333333,72.50426232681465,25.94531706122335,145.5,470.0,21.005952380952383,5.178875880486761,1.8532369329445249,10.392857142857142,33.57142857142857,20.733333333333334,4.999555535800713,1.78906797171248,10.0,33.0,60.63348912824465,22.498859824757723,8.051113588855468,20.436515925,114.35915666796876,0.0969345275790916,0.02376524662873483,0.008504284286644688,0.051206922031893094,0.15167853677934384,0.0,0.0,0.0,0.0,0.0,65.94799151896602,24.444630627170778,8.747398728196952,26.715007818750006,119.33764652609374,0.5885129927927046,0.06415566133521682,0.022957808564574033,0.4700727513227513,0.7012558869701726,0.4815014557027864,0.07903988466511706,0.028284059478811636,0.32931572020895905,0.6449714999487257,20.711695884556033,5.197670436066337,1.8599624782833475,10.057682866961217,33.33229483282675,13.966666666666667,0.17950549357115012,0.0642352159096781,13.0,14.0,1.1666666666666667,0.7340905181848416,0.26269091822618945,0.0,2.0,5.31450239072139,4.590689868970645,1.6427572718871628,0.0,17.568432073200512,0.0,0.0,0.0,0.0,0.0,6.983333333333333,0.08975274678557506,0.03211760795483905,6.5,7.0,0.4523809523809525,0.0890870806374748,0.031879402382985415,0.2857142857142857,0.6428571428571429,33.333333333333336,9.115310685264047,3.2618720369115013,15.0,51.0,0.7907961935326207,0.015899369949056583,0.005689516466529129,0.7619642857142855,0.8224761904761906,0.08933165524878926,0.02071222834254859,0.007411775723882311,0.05303030303030303,0.13333333333333333,12.8,0.7483314773547881,0.2677869800170774,12.0,14.0,1.119137034890272,0.16560929444679645,0.059262524916669966,0.8421123224251305,1.4548693993121156,-9.816666666666666,11.580503251394369,4.144029867259736,-36.0,7.5,1.0,0.0,0.0,1.0,1.0
7,329.3447007291667,86.54085145311213,30.968245971227855,146.5,534.0,23.524621480654766,6.181489389508009,2.212017569373418,10.464285714285714,38.142857142857146,22.933333333333334,5.6091195585601685,2.0071976558449913,10.0,37.0,75.23454720476488,29.949002737099967,10.717112990943827,24.490345900468753,144.8589727391501,0.10903465375163436,0.02797837077031662,0.010011931398188461,0.061793468614718634,0.17182599667375423,0.0,0.0,0.0,0.0,0.0,77.62260649654655,29.44923196346373,10.538272316426276,24.490345900468746,144.85897273915012,0.5819644595055831,0.06618945130950514,0.023685590960055805,0.45791345583876697,0.7074970484061394,0.4728553245802842,0.08126657573214116,0.029080870643801143,0.2802469864765331,0.6458132047542731,23.23363925090197,6.20081633591957,2.2189336283247245,10.1282301316431,37.906500802568225,13.9,0.3,0.10735362127101256,13.0,14.0,0.36666666666666664,0.5467073155618907,0.19563670033641054,0.0,2.0,2.388059291781668,4.472488505819123,1.6004594573088766,0.0,18.621920000000003,0.0,0.0,0.0,0.0,0.0,6.95,0.15,0.05367681063550628,6.5,7.0,0.4476190476190477,0.0920908552657796,0.032954289329087116,0.21428571428571427,0.6428571428571429,33.9,9.267685795278128,3.3163987697501027,18.0,54.0,0.7980307771642268,0.026241305065059877,0.009390330418705139,0.7565079365079367,0.8857142857142857,0.08749169728815985,0.020391484972558504,0.0072969991829919655,0.04252400548696845,0.14660831509846828,13.533333333333333,0.5617433182117574,0.20101726478275628,12.0,14.0,1.1016284377431753,0.1608361985588749,0.057554494489196105,0.8344866705380789,1.4438290904591569,-7.021965937500001,14.464765893769728,5.176149998445383,-35.0,33.34102187499997,1.0,0.0,0.0,1.0,1.0
8,355.31666666666666,83.42286690244002,29.852489529288782,160.5,545.0,25.379761904761914,5.958776207317144,2.1323206806634842,11.464285714285714,38.92857142857143,24.933333333333334,5.7092517509351035,2.0430295007025077,11.0,37.0,85.25503939633668,29.991610868343592,10.732360114892472,30.70361508053907,149.00787607593313,0.1169453451474244,0.027635134889803258,0.009889106015777614,0.06846551734488666,0.17586444650943367,0.0,0.0,0.0,0.0,0.0,88.26859589218041,29.588868185804248,10.588240496855805,30.703615080539063,158.2614276357642,0.5807684679455003,0.06479688144074938,0.023187266232443042,0.44979784366576814,0.6944815309301291,0.4645415481441909,0.07943001155736457,0.028423664594271553,0.2736914684935611,0.6014557491791562,25.08937767078915,5.975598544555347,2.1383404767326954,11.117044948820649,38.69226736566186,14.0,0.0,0.0,14.0,14.0,0.4666666666666667,0.6699917080747261,0.23975345361124317,0.0,2.0,3.0135564958437153,5.352508489271574,1.9153705640238006,0.0,25.779313258018234,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,7.0,0.430952380952381,0.08548249081436306,0.03058951648062647,0.21428571428571427,0.5714285714285714,33.7,8.929912280270917,3.1955280697318944,15.0,51.0,0.7995357833456411,0.020437995667879547,0.007313642821560454,0.765263157894737,0.8485714285714289,0.08785090751004053,0.019134093922289253,0.006847047574324746,0.048628428927680795,0.13829787234042554,13.533333333333333,0.6699917080747261,0.23975345361124317,12.0,14.0,1.0998556919186364,0.1617040303265424,0.05786504409890654,0.8264313828411151,1.4592646519411234,-13.65,12.878373344487263,4.608466715369296,-49.0,7.5,1.0,0.0,0.0,1.0,1.0
9,387.5,97.08647348283556,34.74194834938177,161.5,592.0,27.67857142857143,6.934748105916826,2.4815677392415556,11.535714285714286,42.285714285714285,26.966666666666665,6.549724336862497,2.343788752963568,11.0,41.0,97.17142467194415,33.48432405393246,11.982211476672404,28.54597726058438,171.28219246326285,0.12438778731628747,0.02971599778413006,0.010633733239359155,0.06571977374542633,0.18950271982913058,0.0,0.0,0.0,0.0,0.0,104.51321793935521,36.74790835515781,13.150070120204965,35.167033922988296,183.03411699083057,0.5790102901524491,0.06874588284983423,0.024600398238008338,0.4146702159124519,0.6959310039805395,0.46355870463901155,0.08108984320237736,0.029017627720246037,0.25393919599200665,0.6022057862163741,27.3890662834952,6.953751152531415,2.488367892139082,11.187748783724016,42.05387306949807,13.966666666666667,0.17950549357115012,0.0642352159096781,13.0,14.0,1.1666666666666667,0.7340905181848416,0.26269091822618945,0.0,2.0,7.341793267411047,6.649021859488093,2.3793219150872282,0.0,20.826458446623235,0.0,0.0,0.0,0.0,0.0,6.983333333333333,0.08975274678557506,0.03211760795483905,6.5,7.0,0.4285714285714286,0.08451542547285167,0.030243456592570016,0.21428571428571427,0.5714285714285714,31.533333333333335,8.204605752597473,2.9359804621410666,17.0,48.0,0.8061975881255631,0.02536770092545391,0.00907771519222498,0.7708035714285716,0.8636734693877554,0.08465650513240358,0.023541952868026298,0.008424379640580409,0.042876901798063624,0.13704496788008566,12.8,0.7483314773547881,0.2677869800170774,12.0,14.0,1.0942219667760684,0.16788110841647463,0.060075483105000056,0.7501112628885632,1.467887368268044,-8.133333333333333,14.382242137055295,5.146619251364775,-50.0,16.0,1.0,0.0,0.0,1.0,1.0
